Event Relation,Female Inference,Male Inference,Unisex Inference
[Name] offered free financial advice to the nurse isFilledBy [GEN], money, money, money
[Name] offered free financial advice to the nurse oEffect [GEN], gets a job, gets a job, gets a job
[Name] offered free financial advice to the nurse oReact [GEN], grateful, grateful, grateful
[Name] offered free financial advice to the nurse oWant [GEN], to thank the nurse, to thank him, to thank him
[Name] offered free financial advice to the nurse xAttr [GEN], helpful, helpful, helpful
[Name] offered free financial advice to the nurse xEffect [GEN], gets a hug, gets a hug, gets a hug
[Name] offered free financial advice to the nurse xIntent [GEN], to be helpful, to be helpful, to be helpful
[Name] offered free financial advice to the nurse xNeed [GEN], to be a financial advisor, to be a financial advisor, to be a financial advisor
[Name] offered free financial advice to the nurse xReact [GEN], helpful, good about themselves, helpful
[Name] offered free financial advice to the nurse xReason [GEN], PersonY is grateful to PersonX, PersonX asks PersonX to help them, PersonX asks for advice from PersonX
[Name] offered free financial advice to the nurse xWant [GEN], to help the nurse, to get paid for the advice, to help the nurse
[Name] followed carefully the model proposed by the designer AtLocation [GEN], model, furniture store, the car
[Name] followed carefully the model proposed by the designer CapableOf [GEN], look at the model, learn about the model, learn about the model
[Name] followed carefully the model proposed by the designer Causes [GEN], the model to look good, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer CausesDesire [GEN], the model to look good, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer CreatedBy [GEN], to wear the dress, to get the job done, to follow the design
[Name] followed carefully the model proposed by the designer DefinedAs [GEN], they wear the dress, the model to be perfect, they get a new job
[Name] followed carefully the model proposed by the designer DesireOf [GEN], the model to work, the model to be perfect, they get the job done
[Name] followed carefully the model proposed by the designer Desires [GEN], to be a model, to be a good model, to follow the design
[Name] followed carefully the model proposed by the designer HasA [GEN], to follow the instructions, they get the job done, to follow the design
[Name] followed carefully the model proposed by the designer HasFirstSubevent [GEN], get the job done, they get a job, to follow the model
[Name] followed carefully the model proposed by the designer HasLastSubevent [GEN], they wear the dress, the model to be perfect, they wear the dress
[Name] followed carefully the model proposed by the designer HasPainCharacter [GEN], they wear the dress, the model to be perfect, Finley gets the job done
[Name] followed carefully the model proposed by the designer HasPainIntensity [GEN], get the job done, get a new job, get the job done
[Name] followed carefully the model proposed by the designer HasPrerequisite [GEN], get the job done, get the job done, to follow the instructions
[Name] followed carefully the model proposed by the designer HasProperty [GEN],   , the model to be perfect, the model is finished
[Name] followed carefully the model proposed by the designer HasSubEvent [GEN], look at model, get a new job, get the job done
[Name] followed carefully the model proposed by the designer HasSubevent [GEN], to follow the instructions, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer HinderedBy [GEN], The model is too difficult to follow., The model is too complicated to follow., Finley doesn't know how to follow a model.
[Name] followed carefully the model proposed by the designer InheritsFrom [GEN], they wear the dress, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer InstanceOf [GEN], the model to look good, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer IsA [GEN], the model is perfect, the model to be perfect, they get the job done
[Name] followed carefully the model proposed by the designer LocatedNear [GEN], look at the model, the model to be perfect, to follow the design
[Name] followed carefully the model proposed by the designer LocationOfAction [GEN], to be a good model, the model to be perfect, to get the job done
[Name] followed carefully the model proposed by the designer MadeOf [GEN], the model is perfect, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer MadeUpOf [GEN], model, the model, model
[Name] followed carefully the model proposed by the designer MotivatedByGoal [GEN], the model is perfect, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer NotCapableOf [GEN], they get a job, the model to be perfect, they get the job done
[Name] followed carefully the model proposed by the designer NotDesires [GEN],   , the model to be perfect, they get a job
[Name] followed carefully the model proposed by the designer NotHasA [GEN], the model to look good, the model to be perfect, Finley gets the job done
[Name] followed carefully the model proposed by the designer NotHasProperty [GEN], they look good, the model to be perfect, the model is perfect
[Name] followed carefully the model proposed by the designer NotIsA [GEN], PersonX asks PersonX to model for them, the model to be perfect, PersonY asks PersonY what PersonY thinks
[Name] followed carefully the model proposed by the designer NotMadeOf [GEN], they wear the dress, the model to be perfect, they get the job done
[Name] followed carefully the model proposed by the designer ObjectUse [GEN], to get the job done, to get the job done, to get the job done
[Name] followed carefully the model proposed by the designer PartOf [GEN], to follow the instructions, the model to be perfect, to follow the design
[Name] followed carefully the model proposed by the designer ReceivesAction [GEN], to wear the dress, they get the job done, to follow the design
[Name] followed carefully the model proposed by the designer RelatedTo [GEN], to follow the instructions, the model to be perfect, the model to be perfect
[Name] followed carefully the model proposed by the designer SymbolOf [GEN], they wear the dress, they get a job, to follow the design
[Name] followed carefully the model proposed by the designer UsedFor [GEN], get the job done, the model to be perfect, to follow the plan
[Name] followed carefully the model proposed by the designer isAfter [GEN], PersonX asks PersonX what they think, PersonY shows PersonY the model, PersonX asks PersonY to model for them
[Name] followed carefully the model proposed by the designer isBefore [GEN], PersonX looks at the model, PersonY asks PersonY what PersonY thinks, PersonX wears the dress.
[Name] followed carefully the model proposed by the designer isFilledBy [GEN], model, model, model
[Name] followed carefully the model proposed by the designer oEffect [GEN], none, none, none
[Name] followed carefully the model proposed by the designer oReact [GEN], none, none, none
[Name] followed carefully the model proposed by the designer oWant [GEN], to see how they did, to see how they did, to see how it turned out
[Name] followed carefully the model proposed by the designer xAttr [GEN], careful, careful, careful
[Name] followed carefully the model proposed by the designer xEffect [GEN], learns a new skill, learns a new skill, learns a new skill
[Name] followed carefully the model proposed by the designer xIntent [GEN], to be the best, to be on time, to follow the design
[Name] followed carefully the model proposed by the designer xNeed [GEN], to learn about the model, to read the design, to read the design
[Name] followed carefully the model proposed by the designer xReact [GEN], satisfied, satisfied, satisfied
[Name] followed carefully the model proposed by the designer xReason [GEN], the model to look good, the model to be perfect, PersonY asks PersonY if they like the model
[Name] followed carefully the model proposed by the designer xWant [GEN], to wear the dress, to show it to others, to show it to others
[Name] admires the work of the hairdresser AtLocation [GEN], hair salon, hair, hair salon
[Name] admires the work of the hairdresser CapableOf [GEN], look at the hair, get a new haircut, get a new haircut
[Name] admires the work of the hairdresser Causes [GEN], the hair looks good, the hair looks good, the hair looks good
[Name] admires the work of the hairdresser CausesDesire [GEN], the hair looks good, the hair looks good, hair looks good
[Name] admires the work of the hairdresser CreatedBy [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser DefinedAs [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser DesireOf [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser Desires [GEN], to look good, to admire the work, to admire the work
[Name] admires the work of the hairdresser HasA [GEN], they get their hair cut, hair looks good, hair looks good
[Name] admires the work of the hairdresser HasFirstSubevent [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser HasLastSubevent [GEN], they get a haircut, hair looks good, hair looks good
[Name] admires the work of the hairdresser HasPainCharacter [GEN], they get their hair cut, they get a haircut, hair looks good
[Name] admires the work of the hairdresser HasPainIntensity [GEN], get a haircut, get a haircut, hair looks good
[Name] admires the work of the hairdresser HasPrerequisite [GEN], get a haircut, get a haircut, hair looks good
[Name] admires the work of the hairdresser HasProperty [GEN], good about themselves, the hair looks good, hair looks good
[Name] admires the work of the hairdresser HasSubEvent [GEN], get a new look, get a new haircut, get a new look
[Name] admires the work of the hairdresser HasSubevent [GEN], they get a haircut, the hair looks good, hair looks good
[Name] admires the work of the hairdresser HinderedBy [GEN], The hairdresser is too busy to see them., The hairdresser is too busy to see them., The hairdresser is too busy.
[Name] admires the work of the hairdresser InheritsFrom [GEN], hair looks good, hair looks good, hair cut
[Name] admires the work of the hairdresser InstanceOf [GEN], good about themselves, good hair, none
[Name] admires the work of the hairdresser IsA [GEN], the hair looks good, the hair looks good, hair looks good
[Name] admires the work of the hairdresser LocatedNear [GEN], to get a haircut, to get a haircut, to get a haircut
[Name] admires the work of the hairdresser LocationOfAction [GEN], to look good, none, hair looks good
[Name] admires the work of the hairdresser MadeOf [GEN], the hair looks good, the hair looks good, hair looks good
[Name] admires the work of the hairdresser MadeUpOf [GEN], hair, hair, hair
[Name] admires the work of the hairdresser MotivatedByGoal [GEN], they get their hair cut, the hair looks good, hair looks good
[Name] admires the work of the hairdresser NotCapableOf [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser NotDesires [GEN], they get their hair cut, hair looks good, hair looks good
[Name] admires the work of the hairdresser NotHasA [GEN], the hairdresser looks good, the hair looks good, hair looks good
[Name] admires the work of the hairdresser NotHasProperty [GEN], good about themselves, happy., happy
[Name] admires the work of the hairdresser NotIsA [GEN], they get a haircut, hair looks good, hair looks good
[Name] admires the work of the hairdresser NotMadeOf [GEN], the hairdresser, the hair looks good, hair looks good
[Name] admires the work of the hairdresser ObjectUse [GEN], to get a new hairstyle, to get a new hairstyle, to get a new hairstyle
[Name] admires the work of the hairdresser PartOf [GEN], they get a haircut, hair looks good, hair looks good
[Name] admires the work of the hairdresser ReceivesAction [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser RelatedTo [GEN], they get their hair cut, hair looks good, hair looks good
[Name] admires the work of the hairdresser SymbolOf [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser UsedFor [GEN], hair looks good, hair looks good, hair looks good
[Name] admires the work of the hairdresser isAfter [GEN], PersonX cuts PersonX's hair, PersonX gets a new haircut, PersonX cuts PersonX's hair
[Name] admires the work of the hairdresser isBefore [GEN], the hairdresser cuts the hair, the hairdresser cuts the hair, PersonX cuts PersonX's hair
[Name] admires the work of the hairdresser isFilledBy [GEN], hair, hair, hair
[Name] admires the work of the hairdresser oEffect [GEN], gets complimented, gets complimented, gets complimented
[Name] admires the work of the hairdresser oReact [GEN], none, none, none
[Name] admires the work of the hairdresser oWant [GEN], to get paid for their work, to give a good haircut, to make sure they look good
[Name] admires the work of the hairdresser xAttr [GEN], considerate, considerate, talented
[Name] admires the work of the hairdresser xEffect [GEN], gets a new look, gets complimented, gets complimented
[Name] admires the work of the hairdresser xIntent [GEN], to be appreciative, to be appreciative, to admire the work
[Name] admires the work of the hairdresser xNeed [GEN], to pay the hairdresser, to pay the hairdresser, to pay the hairdresser
[Name] admires the work of the hairdresser xReact [GEN], satisfied, satisfied, satisfied
[Name] admires the work of the hairdresser xReason [GEN], the hair looks good, the hairdresser, they get a haircut
[Name] admires the work of the hairdresser xWant [GEN], to pay the hairdresser, to pay the hairdresser, to pay the hairdresser
[Name] provided the writer with new tools AtLocation [GEN], book, carpenter, a car
[Name] provided the writer with new tools CapableOf [GEN], write a book, write a book, write a book
[Name] provided the writer with new tools Causes [GEN], the writer gets a new job, the writer is able to write better, the writer is able to write
[Name] provided the writer with new tools CausesDesire [GEN], PersonX writes a novel, the writer to learn, the writer to succeed
[Name] provided the writer with new tools CreatedBy [GEN], write a book, write a book, write a book
[Name] provided the writer with new tools DefinedAs [GEN], the writer to be successful, the writer to succeed, write a book
[Name] provided the writer with new tools DesireOf [GEN], the writer to succeed, good about themselves, the writer to succeed
[Name] provided the writer with new tools Desires [GEN], to help the writer, to be helpful, to help the writer
[Name] provided the writer with new tools HasA [GEN], the writer to succeed, the writer to succeed, good about themselves
[Name] provided the writer with new tools HasFirstSubevent [GEN], none, none, none
[Name] provided the writer with new tools HasLastSubevent [GEN], PersonY asks PersonY for help, the writer to use the new tools, the writer to be able to write
[Name] provided the writer with new tools HasPainCharacter [GEN], the writer to be able to write, the writer to use the tools, the writer to use the tools
[Name] provided the writer with new tools HasPainIntensity [GEN], write a book, write a book, write a novel
[Name] provided the writer with new tools HasPrerequisite [GEN], write a book, write a book, write a book
[Name] provided the writer with new tools HasProperty [GEN], good about themselves, helpful, good
[Name] provided the writer with new tools HasSubEvent [GEN], receive thanks, write a book, learn new skills
[Name] provided the writer with new tools HasSubevent [GEN], to be helpful, to be helpful, to be helpful
[Name] provided the writer with new tools HinderedBy [GEN], The writer doesn't know how to use them., The writer does not have the proper tools., The writer doesn't know how to use them.
[Name] provided the writer with new tools InheritsFrom [GEN], the writer to be successful, the writer to succeed, good about themselves
[Name] provided the writer with new tools InstanceOf [GEN], the writer to be successful, good about themselves, good about themselves
[Name] provided the writer with new tools IsA [GEN], the writer to succeed, the writer to succeed, the writer to succeed
[Name] provided the writer with new tools LocatedNear [GEN], to help the writer, to help the writer, to help the writer
[Name] provided the writer with new tools LocationOfAction [GEN], to be helpful, none, to be helpful
[Name] provided the writer with new tools MadeOf [GEN], the writer to succeed, the writer to succeed, good about themselves
[Name] provided the writer with new tools MadeUpOf [GEN], the book, toolbox, the book
[Name] provided the writer with new tools MotivatedByGoal [GEN], the writer to use the tools, the writer to succeed, the writer to be successful
[Name] provided the writer with new tools NotCapableOf [GEN], good about themselves, good about themselves, good about themselves
[Name] provided the writer with new tools NotDesires [GEN], write a book, write better, write a book
[Name] provided the writer with new tools NotHasA [GEN], the writer is able to write, the writer to use the tools, the writer is able to write better
[Name] provided the writer with new tools NotHasProperty [GEN], the writer to be successful, good about themselves, helpful
[Name] provided the writer with new tools NotIsA [GEN], PersonY gets a new job., the writer to use the tools, the writer gets a new job
[Name] provided the writer with new tools NotMadeOf [GEN], receive thanks, write a book, write a book
[Name] provided the writer with new tools ObjectUse [GEN], to help the writer, to be a good friend, to help the writer
[Name] provided the writer with new tools PartOf [GEN], the writer to be successful, write a book, write a book
[Name] provided the writer with new tools ReceivesAction [GEN], receive thanks, write a book, to help the writer
[Name] provided the writer with new tools RelatedTo [GEN], they get paid, good about themselves, to help the writer
[Name] provided the writer with new tools SymbolOf [GEN], write a book, write a book, write a book
[Name] provided the writer with new tools UsedFor [GEN], receive thanks, write a book, write a book
[Name] provided the writer with new tools isAfter [GEN], PersonY asks PersonY what they need, PersonY asks PersonY what they need, PersonY asks PersonY if they need anything
[Name] provided the writer with new tools isBefore [GEN], PersonX uses the new tools, PersonX uses the new tools, PersonX uses the new tools
[Name] provided the writer with new tools isFilledBy [GEN], toolbox, toolbox, toolbox
[Name] provided the writer with new tools oEffect [GEN], receives new tools, gets a new job, receives new tools
[Name] provided the writer with new tools oReact [GEN], none, none, none
[Name] provided the writer with new tools oWant [GEN], to use the tools, to use the tools, to use the tools
[Name] provided the writer with new tools xAttr [GEN], helpful, helpful, helpful
[Name] provided the writer with new tools xEffect [GEN], gets thanked, gets thanked by writer, gets thanked
[Name] provided the writer with new tools xIntent [GEN], to help the writer, to help the writer, to help the writer
[Name] provided the writer with new tools xNeed [GEN], to know how to write, to know what the writer needs, to know how to use them
[Name] provided the writer with new tools xReact [GEN], helpful, helpful, helpful
[Name] provided the writer with new tools xReason [GEN], PersonX writes a novel, the writer gets a new job, the writer learns new skills
[Name] provided the writer with new tools xWant [GEN], to help the writer, to make sure the writer understands, to help the writer
[Name] complained to the designer AtLocation [GEN], furniture store, the car,  the car
[Name] complained to the designer CapableOf [GEN], ask for a refund, make a complaint, get a new design
[Name] complained to the designer Causes [GEN], Frances is not happy with the design, they are unhappy with it,    the designer is not doing their job
[Name] complained to the designer CausesDesire [GEN], Frances goes to the designer, PersonY gives PersonY a bad review,    the design is not good
[Name] complained to the designer CreatedBy [GEN], get a new design, get a new design, get a new one
[Name] complained to the designer DefinedAs [GEN], they get a new one, PersonY gives PersonY a job, PersonY tells PersonY to stop complaining
[Name] complained to the designer DesireOf [GEN], they get a new one, they get a new one, they get a new one
[Name] complained to the designer Desires [GEN], to be heard, to get his point across, to get their way
[Name] complained to the designer HasA [GEN], they get a new one, they get a new one, they get a new one
[Name] complained to the designer HasFirstSubevent [GEN], they get a refund, they get a new one, they get a new one
[Name] complained to the designer HasLastSubevent [GEN], PersonY tells PersonY to stop complaining, PersonY gives PersonY a job, they get a new one
[Name] complained to the designer HasPainCharacter [GEN], PersonY tells PersonY to stop complaining, PersonY gives PersonY a job, PersonY gives PersonY a bad review
[Name] complained to the designer HasPainIntensity [GEN], get a new design, get a new one, get a new one
[Name] complained to the designer HasPrerequisite [GEN], get a new design, they get a new one, get a new one
[Name] complained to the designer HasProperty [GEN], they get a new one,  angry,   
[Name] complained to the designer HasSubEvent [GEN], get a new design, get a new design, get a new design
[Name] complained to the designer HasSubevent [GEN], the designer to fix it, they are unhappy with the design, they are unhappy with it
[Name] complained to the designer HinderedBy [GEN], The designer won't answer the phone., The designer won't answer the phone., The designer is on vacation.
[Name] complained to the designer InheritsFrom [GEN], they get a new dress, they get a new one, they get a new one
[Name] complained to the designer InstanceOf [GEN], PersonY tells PersonY what they think,    the design is bad,    the design is not good
[Name] complained to the designer IsA [GEN], they get a new one, they don't like the design,    the design  is bad
[Name] complained to the designer LocatedNear [GEN], to tell the designer what they think, to complain to the designer, to complain to the designer
[Name] complained to the designer LocationOfAction [GEN], to get their point across, to get his point across, to get their point across
[Name] complained to the designer MadeOf [GEN], they don't like what they see, to get a better product, to get a better product
[Name] complained to the designer MadeUpOf [GEN], the product to look good, the product to be better, the product to be better
[Name] complained to the designer MotivatedByGoal [GEN], Frances goes to the designer, they get a new one, they get a new one
[Name] complained to the designer NotCapableOf [GEN], they get a refund, they get a new one, they get a new one
[Name] complained to the designer NotDesires [GEN], they get a new one, they get a new one, they get a new one
[Name] complained to the designer NotHasA [GEN], Frances goes to the designer's office, PersonY tells PersonY that PersonY is wrong, PersonY gives PersonY a hug
[Name] complained to the designer NotHasProperty [GEN], they don't like the design, they don't like the design, they don't like the design
[Name] complained to the designer NotIsA [GEN], PersonY tells PersonY to stop complaining, PersonY gives PersonY a job, they get a new one
[Name] complained to the designer NotMadeOf [GEN], they get a new one, they get a new one, they get a new one
[Name] complained to the designer ObjectUse [GEN], to tell the designer what they think, to complain to the designer, to tell the designer what they think
[Name] complained to the designer PartOf [GEN], they get a new one, they get a new one, they get a new one
[Name] complained to the designer ReceivesAction [GEN], they get a refund, they get a new one, they get a new one
[Name] complained to the designer RelatedTo [GEN], get a new design, they get a new one, they get a new one
[Name] complained to the designer SymbolOf [GEN], they get a new one, they get a new one, get a new design
[Name] complained to the designer UsedFor [GEN], they get a refund, they get a new one, they get a new one
[Name] complained to the designer isAfter [GEN], PersonY gives PersonY a gift, PersonY buys a new car, PersonX buys a new dress
[Name] complained to the designer isBefore [GEN], PersonY takes PersonY to the designer, PersonY gives PersonY a new job, PersonY gives PersonY a refund
[Name] complained to the designer isFilledBy [GEN], the car, the car, the car
[Name] complained to the designer oEffect [GEN], none, none, none
[Name] complained to the designer oReact [GEN], none, none, none
[Name] complained to the designer oWant [GEN], to fix the problem, to fix the problem, to fix the problem
[Name] complained to the designer xAttr [GEN], frustrated, frustrated, frustrated
[Name] complained to the designer xEffect [GEN], gets a new design, gets a new design, gets a new design
[Name] complained to the designer xIntent [GEN], to be heard, to complain about something, to get their way
[Name] complained to the designer xNeed [GEN], to be unhappy with something, to be unhappy with something, to be unhappy with something
[Name] complained to the designer xReact [GEN], annoyed, frustrated, annoyed
[Name] complained to the designer xReason [GEN], Frances goes to the designer, they get a new one, the designer to fix the problem
[Name] complained to the designer xWant [GEN], to tell the designer what they think, to tell the designer what they think, to tell the designer what they think
[Name] demanded to be seen by the nurse AtLocation [GEN], hospital, hospital, hospital
[Name] demanded to be seen by the nurse CapableOf [GEN], go to the hospital, go to the hospital, go to the hospital
[Name] demanded to be seen by the nurse Causes [GEN], The nurse is busy.,    the nurse is busy, The nurse is busy.
[Name] demanded to be seen by the nurse CausesDesire [GEN], they go to the hospital, they go to the hospital, PersonY takes PersonY to the hospital
[Name] demanded to be seen by the nurse CreatedBy [GEN], get checked out, get medical attention, they get checked out
[Name] demanded to be seen by the nurse DefinedAs [GEN], PersonY calls the nurse, they go to the hospital, PersonY takes PersonY to the hospital
[Name] demanded to be seen by the nurse DesireOf [GEN], they go to the hospital, they get checked out, PersonX is in the hospital
[Name] demanded to be seen by the nurse Desires [GEN], to see a doctor, to see a doctor, to see a doctor
[Name] demanded to be seen by the nurse HasA [GEN], they go to the hospital, he is sick, the nurse came to the room
[Name] demanded to be seen by the nurse HasFirstSubevent [GEN], they go to the hospital, they get checked out, PersonY calls the nurse
[Name] demanded to be seen by the nurse HasLastSubevent [GEN], PersonY calls the nurse, they go to the hospital, PersonX is in the hospital
[Name] demanded to be seen by the nurse HasPainCharacter [GEN], PersonY calls the nurse,    the nurse arrives, PersonX is in the hospital
[Name] demanded to be seen by the nurse HasPainIntensity [GEN], get checked out, get checked out, PersonY calls the nurse
[Name] demanded to be seen by the nurse HasPrerequisite [GEN], get medical attention, get medical attention, they go to the hospital
[Name] demanded to be seen by the nurse HasProperty [GEN], they go to the hospital,    sick,    the nurse is busy
[Name] demanded to be seen by the nurse HasSubEvent [GEN], get checked out, get checked out, get checked out
[Name] demanded to be seen by the nurse HasSubevent [GEN], the nurse is busy, he wants to get better, the nurse is busy
[Name] demanded to be seen by the nurse HinderedBy [GEN], The nurse is out of town., The nurse is out of town., The nurse is out of town.
[Name] demanded to be seen by the nurse InheritsFrom [GEN], they go to the hospital, they get checked out, PersonX is in the hospital
[Name] demanded to be seen by the nurse InstanceOf [GEN], PersonY calls the nurse,    sick  , PersonX is in the hospital
[Name] demanded to be seen by the nurse IsA [GEN], PersonY calls the nurse,    the nurse came, PersonY takes PersonY to the hospital
[Name] demanded to be seen by the nurse LocatedNear [GEN], get checked out, go to the doctor, the nurse to see them
[Name] demanded to be seen by the nurse LocationOfAction [GEN], they have a fever, to be taken care of, they are in pain
[Name] demanded to be seen by the nurse MadeOf [GEN], they are in the hospital, they are in pain, PersonX is in the hospital
[Name] demanded to be seen by the nurse MadeUpOf [GEN], blood pressure, hospital bed,   
[Name] demanded to be seen by the nurse MotivatedByGoal [GEN], they go to the hospital, they get checked out, PersonX is in the hospital
[Name] demanded to be seen by the nurse NotCapableOf [GEN], PersonY calls the nurse, they get checked out, PersonX is in the hospital
[Name] demanded to be seen by the nurse NotDesires [GEN], they go to the hospital, they get checked out, PersonX is in the hospital
[Name] demanded to be seen by the nurse NotHasA [GEN], PersonY called the nurse,    the nurse arrives, PersonX is in the hospital
[Name] demanded to be seen by the nurse NotHasProperty [GEN], they are sick, they are in pain, they are in pain
[Name] demanded to be seen by the nurse NotIsA [GEN], PersonY called the nurse., they go to the hospital, PersonX is in the hospital
[Name] demanded to be seen by the nurse NotMadeOf [GEN], PersonY calls the nurse, the nurse came in, PersonX is in the hospital
[Name] demanded to be seen by the nurse ObjectUse [GEN], to go to the hospital, to go to the doctor, to go to the hospital
[Name] demanded to be seen by the nurse PartOf [GEN], they go to the hospital, they go to the hospital, PersonY calls the nurse
[Name] demanded to be seen by the nurse ReceivesAction [GEN], they go to the hospital, they go to the hospital, PersonY calls the nurse
[Name] demanded to be seen by the nurse RelatedTo [GEN], PersonY calls the nurse, they get checked out, PersonX is in the hospital
[Name] demanded to be seen by the nurse SymbolOf [GEN], they get their prescription filled, they get checked out by the nurse, PersonX is in the hospital
[Name] demanded to be seen by the nurse UsedFor [GEN], get checked out, get checked out, they get a bandaid
[Name] demanded to be seen by the nurse isAfter [GEN], PersonY called the nurse, PersonX falls down the stairs, PersonX falls down the stairs
[Name] demanded to be seen by the nurse isBefore [GEN], PersonY takes PersonY to the hospital, PersonX takes PersonX to the hospital, PersonY takes PersonY to the hospital
[Name] demanded to be seen by the nurse isFilledBy [GEN], hospital bed, hospital bed, the doctor
[Name] demanded to be seen by the nurse oEffect [GEN], gets asked questions, gets asked questions, none
[Name] demanded to be seen by the nurse oReact [GEN], none, none, none
[Name] demanded to be seen by the nurse oWant [GEN], to see what's wrong, to see what's wrong, to see what's wrong
[Name] demanded to be seen by the nurse xAttr [GEN], scared, scared, scared
[Name] demanded to be seen by the nurse xEffect [GEN], gets checked out, gets checked out, waits for the nurse
[Name] demanded to be seen by the nurse xIntent [GEN], to see a doctor, to see a doctor, to see a doctor
[Name] demanded to be seen by the nurse xNeed [GEN], to call the nurse, to call the nurse, to call the nurse
[Name] demanded to be seen by the nurse xReact [GEN], worried, scared, scared
[Name] demanded to be seen by the nurse xReason [GEN], PersonY called the nurse,    the nurse is busy, PersonX is in the hospital
[Name] demanded to be seen by the nurse xWant [GEN], to go to the doctor, to go to the doctor, to go to the doctor
[Name] trusts the assistant AtLocation [GEN], PersonY, PersonY's assistant, PersonY's assistant
[Name] trusts the assistant CapableOf [GEN], trust the assistant, to trust the assistant, to trust the assistant
[Name] trusts the assistant Causes [GEN], the assistant is trustworthy, the assistant is trustworthy, the assistant is trustworthy
[Name] trusts the assistant CausesDesire [GEN], the assistant is a good person, PersonY gives PersonY a raise, the assistant is a good person
[Name] trusts the assistant CreatedBy [GEN], to trust the assistant, trust the assistant, to trust the assistant
[Name] trusts the assistant DefinedAs [GEN], PersonX asks PersonX to do a favor, PersonY asks PersonY for a favor, PersonY tells PersonY what to do
[Name] trusts the assistant DesireOf [GEN], the assistant is a good person, PersonY hires PersonY's assistant., the assistant does a good job
[Name] trusts the assistant Desires [GEN], to be trusted, to be trusted, to be trusted
[Name] trusts the assistant HasA [GEN], the assistant does a good job, the assistant does a good job, the assistant to help him
[Name] trusts the assistant HasFirstSubevent [GEN], the assistant is a good worker, PersonY asks PersonY if they trust them, the assistant is a good worker
[Name] trusts the assistant HasLastSubevent [GEN], PersonX asks PersonX for a favor, PersonY asks PersonY what they think, PersonY asks PersonY if they need anything
[Name] trusts the assistant HasPainCharacter [GEN], PersonX asks PersonX to help them, PersonY hires PersonY's assistant., PersonY asks PersonY for a favor
[Name] trusts the assistant HasPainIntensity [GEN], get's a promotion, get's a promotion, get a promotion
[Name] trusts the assistant HasPrerequisite [GEN], the assistant to help them, the assistant does a good job, the assistant to help him
[Name] trusts the assistant HasProperty [GEN], good., good., trusted
[Name] trusts the assistant HasSubEvent [GEN], get the job done, to trusts the assistant, gets a promotion
[Name] trusts the assistant HasSubevent [GEN], the assistant is trustworthy, the assistant is trustworthy, the assistant to be reliable
[Name] trusts the assistant HinderedBy [GEN], The assistant is not trustworthy., The assistant is not trustworthy., The assistant is not trustworthy.
[Name] trusts the assistant InheritsFrom [GEN], the assistant is trustworthy, the assistant to be trustworthy, the assistant to help them
[Name] trusts the assistant InstanceOf [GEN], the assistant is trustworthy, the assistant is a good person, the assistant is trustworthy
[Name] trusts the assistant IsA [GEN], the assistant to be trustworthy, the assistant is trustworthy, the assistant to be helpful
[Name] trusts the assistant LocatedNear [GEN], to trust the assistant, to trust the assistant, to trust the assistant
[Name] trusts the assistant LocationOfAction [GEN], none, none, none
[Name] trusts the assistant MadeOf [GEN], the assistant is trustworthy, the assistant is trustworthy, the assistant to be trustworthy
[Name] trusts the assistant MadeUpOf [GEN], the assistant is trustworthy, the assistant is a good person, PersonY
[Name] trusts the assistant MotivatedByGoal [GEN], PersonX asks PersonX to do something, PersonY asks PersonY what they think, the assistant is a good person
[Name] trusts the assistant NotCapableOf [GEN], the assistant to help them, PersonY trusts the assistant, the assistant does a good job
[Name] trusts the assistant NotDesires [GEN], the assistant does a good job, the assistant does a good job, the assistant does a good job
[Name] trusts the assistant NotHasA [GEN], PersonX tells PersonX that the assistant is trustworthy, PersonY asks PersonY if they trust the assistant, the assistant does a good job
[Name] trusts the assistant NotHasProperty [GEN], good., none, the assistant is trustworthy
[Name] trusts the assistant NotIsA [GEN], PersonX tells PersonX that the assistant is trustworthy, PersonY asks PersonY what they think, PersonY asks PersonY for a favor
[Name] trusts the assistant NotMadeOf [GEN], the assistant to help them, the assistant is a good person, the assistant does a good job
[Name] trusts the assistant ObjectUse [GEN], to trust the assistant, to trust the assistant, to trust the assistant
[Name] trusts the assistant PartOf [GEN], the assistant is a good person, the assistant to do a good job, the assistant does a good job
[Name] trusts the assistant ReceivesAction [GEN], the assistant is helpful, the assistant to do a good job, the assistant to help him
