Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] was worried about a visit from the auditor isAfter [GEN],PersonX calls the auditor,PersonX calls the auditor,PersonX calls the auditor
[Name] was worried about a visit from the auditor isBefore [GEN],Amanda was worried about a visit from the auditor,PersonX leaves the auditorium,PersonX goes to the auditorium
[Name] was worried about a visit from the auditor isFilledBy [GEN],auditorium,auditorium,the auditorium
[Name] was worried about a visit from the auditor oEffect [GEN],is asked questions,is asked questions,is asked questions
[Name] was worried about a visit from the auditor oReact [GEN],worried,worried,worried
[Name] was worried about a visit from the auditor oWant [GEN],to talk to person x,to talk to personX,to talk to PersonX
[Name] was worried about a visit from the auditor xAttr [GEN],worried,worried,worried
[Name] was worried about a visit from the auditor xEffect [GEN],gets nervous,gets nervous,worries
[Name] was worried about a visit from the auditor xIntent [GEN],to be sure,to be sure,to be sure
[Name] was worried about a visit from the auditor xNeed [GEN],to call the auditor,to go to the auditorium,to call the auditor
[Name] was worried about a visit from the auditor xReact [GEN],worried,worried,worried
[Name] was worried about a visit from the auditor xReason [GEN],he is worried,the auditorium is closed,he is worried
[Name] was worried about a visit from the auditor xWant [GEN],Amanda was worried about a visit from the auditor,to go home,to go to the auditorium
[Name] contacted the editor AtLocation [GEN],mail box,newspaper,office
[Name] contacted the editor CapableOf [GEN],write letter,write letter,write a letter
[Name] contacted the editor Causes [GEN],change,change,to ask the editor questions
[Name] contacted the editor CausesDesire [GEN],letter,desperate,to ask the editor questions
[Name] contacted the editor CreatedBy [GEN],desperate,office,to ask the editor questions
[Name] contacted the editor DefinedAs [GEN],magazine,desperate,to ask the editor questions
[Name] contacted the editor DesireOf [GEN],magazine,desperate,the editor
[Name] contacted the editor Desires [GEN],helpful,good news,to get an opinion
[Name] contacted the editor HasA [GEN],letter,desperate,the editor
[Name] contacted the editor HasFirstSubevent [GEN],magazine,desperate,the editor
[Name] contacted the editor HasLastSubevent [GEN],magazine,desperate,the editor
[Name] contacted the editor HasPainCharacter [GEN],magazine,editor,a job offer
[Name] contacted the editor HasPainIntensity [GEN],magazine,desperate,the editor
[Name] contacted the editor HasPrerequisite [GEN],press,desperate,the editor
[Name] contacted the editor HasProperty [GEN],nervous,nervous,responsible
[Name] contacted the editor HasSubEvent [GEN],gets fired,get fired,gets fired
[Name] contacted the editor HasSubevent [GEN],magazine,mail,a phone number
[Name] contacted the editor HinderedBy [GEN],PersonX doesn't have a phone.,PersonX doesn't have a phone.,PersonX doesn't have a phone.
[Name] contacted the editor InheritsFrom [GEN],magazine,desperate,to ask the editor questions
[Name] contacted the editor InstanceOf [GEN],magazine,desperate,a phone number
[Name] contacted the editor IsA [GEN],letter,desperate,a phone number
[Name] contacted the editor LocatedNear [GEN],letter,desperate,the editor
[Name] contacted the editor LocationOfAction [GEN],magazine,desperate,to ask the editor questions
[Name] contacted the editor MadeOf [GEN],magazine,desperate,the editor
[Name] contacted the editor MadeUpOf [GEN],letter,letter,letter
[Name] contacted the editor MotivatedByGoal [GEN],letter,desperate,to ask the editor questions
[Name] contacted the editor NotCapableOf [GEN],letter,desperate,a phone number
[Name] contacted the editor NotDesires [GEN],letter,desperate,a phone number
[Name] contacted the editor NotHasA [GEN],magazine,editor,the editor
[Name] contacted the editor NotHasProperty [GEN],magazine,desperate,the editor
[Name] contacted the editor NotIsA [GEN],letter,desperate,a phone number
[Name] contacted the editor NotMadeOf [GEN],desperate,mail,to ask the editor questions
[Name] contacted the editor ObjectUse [GEN],send a letter,send a letter,write a letter
[Name] contacted the editor PartOf [GEN],magazine,desperate,to ask the editor questions
[Name] contacted the editor ReceivesAction [GEN],magazine,desperate,to ask the editor questions
[Name] contacted the editor RelatedTo [GEN],desperate,desperate,the editor
[Name] contacted the editor SymbolOf [GEN],letter,mail,to ask the editor questions
[Name] contacted the editor UsedFor [GEN],letter,desperate,to ask the editor questions
[Name] contacted the editor isAfter [GEN],PersonX writes a story,PersonX writes a story,PersonX writes a story
[Name] contacted the editor isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired
[Name] contacted the editor isFilledBy [GEN],magazine,press,the editor
[Name] contacted the editor oEffect [GEN],gets fired,gets fired,gets fired
[Name] contacted the editor oReact [GEN],happy,happy,happy
[Name] contacted the editor oWant [GEN],to ask questions,to ask questions,to respond to PersonX
[Name] contacted the editor xAttr [GEN],confident,responsible,curious
[Name] contacted the editor xEffect [GEN],gets fired,gets fired,gets fired
[Name] contacted the editor xIntent [GEN],to communicate,to communicate,to communicate
[Name] contacted the editor xNeed [GEN],write a letter,call the editor,to have an idea
[Name] contacted the editor xReact [GEN],relieved,relieved,relieved
[Name] contacted the editor xReason [GEN],the editor is busy,the editor is busy,the editor is busy
[Name] contacted the editor xWant [GEN],write a letter,to ask the editor questions,to ask the editor questions
[Name] asked the librarian to leave AtLocation [GEN],library,library,library
[Name] asked the librarian to leave CapableOf [GEN],leave library,call librarian,locate the librarian
[Name] asked the librarian to leave Causes [GEN],librarian to leave,librarian to leave,librarian to leave
[Name] asked the librarian to leave CausesDesire [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave CreatedBy [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave DefinedAs [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave DesireOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave Desires [GEN],librarian to leave,librarian to leave,to be alone
[Name] asked the librarian to leave HasA [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HasFirstSubevent [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HasLastSubevent [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HasPainCharacter [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HasPainIntensity [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HasPrerequisite [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HasProperty [GEN],librarian,librarian,nervous
[Name] asked the librarian to leave HasSubEvent [GEN],leave,librarian leaves,gets yelled at
[Name] asked the librarian to leave HasSubevent [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave HinderedBy [GEN],Gloria asked the librarian to leave,The librarian is on vacation.,PersonX doesn't know the librarian.
[Name] asked the librarian to leave InheritsFrom [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave InstanceOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave IsA [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave LocatedNear [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave LocationOfAction [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave MadeOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave MadeUpOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave MotivatedByGoal [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave NotCapableOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave NotDesires [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave NotHasA [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave NotHasProperty [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave NotIsA [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave NotMadeOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave ObjectUse [GEN],leave,librarian,librarian
[Name] asked the librarian to leave PartOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave ReceivesAction [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave RelatedTo [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave SymbolOf [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave UsedFor [GEN],librarian,librarian,librarian
[Name] asked the librarian to leave isAfter [GEN],Gloria asked the librarian to leave,PersonX goes to the library,PersonX goes to the library
[Name] asked the librarian to leave isBefore [GEN],Gloria asked the librarian to leave,PersonX leaves the library,PersonX leaves the library
[Name] asked the librarian to leave isFilledBy [GEN],the library,library,the book
[Name] asked the librarian to leave oEffect [GEN],librarian leaves,librarian leaves,walks away
[Name] asked the librarian to leave oReact [GEN],sad,irritated,irritated
[Name] asked the librarian to leave oWant [GEN],leave,leave,to go home
[Name] asked the librarian to leave xAttr [GEN],irresponsible,irresponsible,mean
[Name] asked the librarian to leave xEffect [GEN],gets yelled at,gets yelled at,gets yelled at
[Name] asked the librarian to leave xIntent [GEN],to be alone,to be alone,to be alone
[Name] asked the librarian to leave xNeed [GEN],call librarian,call librarian,to call the librarian
[Name] asked the librarian to leave xReact [GEN],relieved,relieved,relieved
[Name] asked the librarian to leave xReason [GEN],the librarian is rude,the librarian is busy,the librarian is busy
[Name] asked the librarian to leave xWant [GEN],to go home,leave,to go home
[Name] hired the cleaner AtLocation [GEN],building,desk,garage
[Name] hired the cleaner CapableOf [GEN],mine for gold,train new employee,clean house
[Name] hired the cleaner Causes [GEN],work,money,clean house
[Name] hired the cleaner CausesDesire [GEN],get paid,water,to pay the cleaner
[Name] hired the cleaner CreatedBy [GEN],meeting,me,to pay the cleaner
[Name] hired the cleaner DefinedAs [GEN],get paid,me,to pay the cleaner
[Name] hired the cleaner DesireOf [GEN],meeting,make money,to pay the cleaner
[Name] hired the cleaner Desires [GEN],money,money,a clean house
[Name] hired the cleaner HasA [GEN],equipment,water,to pay the cleaner
[Name] hired the cleaner HasFirstSubevent [GEN],meeting,me,to pay the cleaner
[Name] hired the cleaner HasLastSubevent [GEN],meeting,make money,to pay the cleaner
[Name] hired the cleaner HasPainCharacter [GEN],truck,people,to pay the cleaner
[Name] hired the cleaner HasPainIntensity [GEN],truck,truck,to pay the cleaner
[Name] hired the cleaner HasPrerequisite [GEN],truck,company,to pay the cleaner
[Name] hired the cleaner HasProperty [GEN],used by people,kids,responsible
[Name] hired the cleaner HasSubEvent [GEN],get paid,get paid,has a cleaner
[Name] hired the cleaner HasSubevent [GEN],meeting,erase,to pay the cleaner
[Name] hired the cleaner HinderedBy [GEN],PersonX has no money.,PersonX doesn't have a job.,PersonX has no money.
[Name] hired the cleaner InheritsFrom [GEN],truck,water,to pay the cleaner
[Name] hired the cleaner InstanceOf [GEN],meeting,erase,to pay the cleaner
[Name] hired the cleaner IsA [GEN],truck,me,to pay the cleaner
[Name] hired the cleaner LocatedNear [GEN],truck,get paid,to pay the cleaner
[Name] hired the cleaner LocationOfAction [GEN],equipment,make money,to pay the cleaner
[Name] hired the cleaner MadeOf [GEN],get a job,people,to pay the cleaner
[Name] hired the cleaner MadeUpOf [GEN],clay,jaw,cleaner
[Name] hired the cleaner MotivatedByGoal [GEN],truck,water,to pay the cleaner
[Name] hired the cleaner NotCapableOf [GEN],meeting,erase,to pay the cleaner
[Name] hired the cleaner NotDesires [GEN],equipment,cleaner,to pay the cleaner
[Name] hired the cleaner NotHasA [GEN],truck,me,to pay the cleaner
[Name] hired the cleaner NotHasProperty [GEN],truck,me,to pay the cleaner
[Name] hired the cleaner NotIsA [GEN],snow blower,erase,to pay the cleaner
[Name] hired the cleaner NotMadeOf [GEN],truck,launder money,to pay the cleaner
[Name] hired the cleaner ObjectUse [GEN],make money,get a job,clean the house
[Name] hired the cleaner PartOf [GEN],truck,water,to pay the cleaner
[Name] hired the cleaner ReceivesAction [GEN],snow blower,me,to pay the cleaner
[Name] hired the cleaner RelatedTo [GEN],truck,water,to pay the cleaner
[Name] hired the cleaner SymbolOf [GEN],meeting,people,to pay the cleaner
[Name] hired the cleaner UsedFor [GEN],truck,water,to pay the cleaner
[Name] hired the cleaner isAfter [GEN],PersonX gets a new job,PersonX gets a new job,PersonX cleans the house
[Name] hired the cleaner isBefore [GEN],PersonX gets fired,PersonX gets a new job,PersonX pays the cleaner
[Name] hired the cleaner isFilledBy [GEN],doctor,doctor,truck
[Name] hired the cleaner oEffect [GEN],gets fired,gets paid,gets paid
[Name] hired the cleaner oReact [GEN],happy,happy,happy
[Name] hired the cleaner oWant [GEN],to pay them,to get paid,to get paid
[Name] hired the cleaner xAttr [GEN],responsible,responsible,responsible
[Name] hired the cleaner xEffect [GEN],makes money,gets paid,smiles
[Name] hired the cleaner xIntent [GEN],make money,money,to have a clean house
[Name] hired the cleaner xNeed [GEN],get a job,apply for a job,to go to the cleaners
[Name] hired the cleaner xReact [GEN],accomplished,happy,responsible
[Name] hired the cleaner xReason [GEN],it's required,they need money,the cleaner is needed
[Name] hired the cleaner xWant [GEN],get paid,get paid,to pay the cleaner
[Name] gave a free ride to the secretary AtLocation [GEN],office building,office building,office
[Name] gave a free ride to the secretary CapableOf [GEN],chair meeting,chair meeting,drive
[Name] gave a free ride to the secretary Causes [GEN],to be free,to be happy,to be happy
[Name] gave a free ride to the secretary CausesDesire [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary CreatedBy [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary DefinedAs [GEN],secretary,secretary,to the secretary
[Name] gave a free ride to the secretary DesireOf [GEN],secretary,secretary,to go home
[Name] gave a free ride to the secretary Desires [GEN],to be helpful,to be helpful,to be helpful
[Name] gave a free ride to the secretary HasA [GEN],secretary,secretary,to go to the office
[Name] gave a free ride to the secretary HasFirstSubevent [GEN],secretary,secretary,the secretary
[Name] gave a free ride to the secretary HasLastSubevent [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary HasPainCharacter [GEN],secretary,secretary,to go home
[Name] gave a free ride to the secretary HasPainIntensity [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary HasPrerequisite [GEN],secretary,secretary,to the secretary
[Name] gave a free ride to the secretary HasProperty [GEN],nervous,nervous,responsible
[Name] gave a free ride to the secretary HasSubEvent [GEN],receives thanks,receive thanks,receives thanks
[Name] gave a free ride to the secretary HasSubevent [GEN],secretary,office,to be helpful
[Name] gave a free ride to the secretary HinderedBy [GEN],PersonX has no car.,PersonX has no car.,PersonX has no car.
[Name] gave a free ride to the secretary InheritsFrom [GEN],secretary,secretary,to the secretary
[Name] gave a free ride to the secretary InstanceOf [GEN],truck,secretary,to be helpful
[Name] gave a free ride to the secretary IsA [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary LocatedNear [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary LocationOfAction [GEN],secretary,secretary,to go home
[Name] gave a free ride to the secretary MadeOf [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary MadeUpOf [GEN],secretary,chair,car
[Name] gave a free ride to the secretary MotivatedByGoal [GEN],secretary,secretary,the secretary
[Name] gave a free ride to the secretary NotCapableOf [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary NotDesires [GEN],secretary,secretary,to go to the office
[Name] gave a free ride to the secretary NotHasA [GEN],secretary,secretary,the secretary
[Name] gave a free ride to the secretary NotHasProperty [GEN],secretary,secretary,the secretary
[Name] gave a free ride to the secretary NotIsA [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary NotMadeOf [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary ObjectUse [GEN],get into the office,drive to the office,to be helpful
[Name] gave a free ride to the secretary PartOf [GEN],secretary,secretary,to go home
[Name] gave a free ride to the secretary ReceivesAction [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary RelatedTo [GEN],secretary,secretary,to the secretary
[Name] gave a free ride to the secretary SymbolOf [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary UsedFor [GEN],secretary,secretary,to be helpful
[Name] gave a free ride to the secretary isAfter [GEN],PersonX asks for a ride,PersonX asks for a ride,PersonX asks for a ride
[Name] gave a free ride to the secretary isBefore [GEN],PersonX leaves the office,PersonX leaves the office,PersonX leaves the office
[Name] gave a free ride to the secretary isFilledBy [GEN],dog,dog,dog
[Name] gave a free ride to the secretary oEffect [GEN],smiles,smiles,smiles
[Name] gave a free ride to the secretary oReact [GEN],grateful,grateful,grateful
[Name] gave a free ride to the secretary oWant [GEN],to thank person x,to thank person x,to thank person x
[Name] gave a free ride to the secretary xAttr [GEN],generous,generous,generous
[Name] gave a free ride to the secretary xEffect [GEN],smiles,receives thanks,is thanked
[Name] gave a free ride to the secretary xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] gave a free ride to the secretary xNeed [GEN],get in car,to have a car,to go to the secretary
[Name] gave a free ride to the secretary xReact [GEN],happy,happy,happy
[Name] gave a free ride to the secretary xReason [GEN],she needs a ride,she needs a ride,the secretary needs a ride
[Name] gave a free ride to the secretary xWant [GEN],to go home,to go home,to go home
[Name] asked the assistant to get the schedule AtLocation [GEN],office,office,office
[Name] asked the assistant to get the schedule CapableOf [GEN],call,page,get fired
[Name] asked the assistant to get the schedule Causes [GEN],helpful,informative,to get the job done
[Name] asked the assistant to get the schedule CausesDesire [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule CreatedBy [GEN],in order,truck,to go to the office
[Name] asked the assistant to get the schedule DefinedAs [GEN],truck,truck,to get the job done
[Name] asked the assistant to get the schedule DesireOf [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule Desires [GEN],satisfied,satisfied,to be helpful
[Name] asked the assistant to get the schedule HasA [GEN],truck,truck,thank the assistant
[Name] asked the assistant to get the schedule HasFirstSubevent [GEN],truck,truck,thank the assistant
[Name] asked the assistant to get the schedule HasLastSubevent [GEN],truck,truck,to go home
[Name] asked the assistant to get the schedule HasPainCharacter [GEN],the assistant,truck,thank the assistant
[Name] asked the assistant to get the schedule HasPainIntensity [GEN],truck,truck,to get the job done
[Name] asked the assistant to get the schedule HasPrerequisite [GEN],the assistant,truck,to ask the manager
[Name] asked the assistant to get the schedule HasProperty [GEN],nervous,nervous,nervous
[Name] asked the assistant to get the schedule HasSubEvent [GEN],receive answer,get fired,waits
[Name] asked the assistant to get the schedule HasSubevent [GEN],schedule,truck,thank the assistant
[Name] asked the assistant to get the schedule HinderedBy [GEN],Alice asked the assistant to get the schedule,PersonX doesn't have the authority.,PersonX doesn't have a phone.
[Name] asked the assistant to get the schedule InheritsFrom [GEN],satisfied,satisfied,to go home
[Name] asked the assistant to get the schedule InstanceOf [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule IsA [GEN],satisfied,truck,to go to the office
[Name] asked the assistant to get the schedule LocatedNear [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule LocationOfAction [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule MadeOf [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule MadeUpOf [GEN],schedule,schedule,schedule
[Name] asked the assistant to get the schedule MotivatedByGoal [GEN],truck,truck,to go home
[Name] asked the assistant to get the schedule NotCapableOf [GEN],truck,truck,thank the assistant
[Name] asked the assistant to get the schedule NotDesires [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule NotHasA [GEN],truck,truck,to get the job done
[Name] asked the assistant to get the schedule NotHasProperty [GEN],the assistant,truck,to go to the office
[Name] asked the assistant to get the schedule NotIsA [GEN],truck,truck,thank the assistant
[Name] asked the assistant to get the schedule NotMadeOf [GEN],tickets,truck,to go to the office
[Name] asked the assistant to get the schedule ObjectUse [GEN],know what to do,know what to do,get the job done
[Name] asked the assistant to get the schedule PartOf [GEN],desperate,truck,to go to the office
[Name] asked the assistant to get the schedule ReceivesAction [GEN],truck,truck,to go home
[Name] asked the assistant to get the schedule RelatedTo [GEN],satisfied,truck,to go home
[Name] asked the assistant to get the schedule SymbolOf [GEN],truck,truck,to get the job done
[Name] asked the assistant to get the schedule UsedFor [GEN],truck,truck,to go to the office
[Name] asked the assistant to get the schedule isAfter [GEN],Alice asked the assistant to get the schedule,PersonX wants to go to a concert,PersonX calls the assistant
[Name] asked the assistant to get the schedule isBefore [GEN],PersonX gets a good grade,PersonX gets fired,PersonX gets fired
[Name] asked the assistant to get the schedule isFilledBy [GEN],truck,truck,mail
[Name] asked the assistant to get the schedule oEffect [GEN],listens,gets fired,gets yelled at
[Name] asked the assistant to get the schedule oReact [GEN],helpful,happy,helpful
[Name] asked the assistant to get the schedule oWant [GEN],to do their job,to go home,to do their job
[Name] asked the assistant to get the schedule xAttr [GEN],curious,helpful,curious
[Name] asked the assistant to get the schedule xEffect [GEN],waits,gets yelled at,waits
[Name] asked the assistant to get the schedule xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] asked the assistant to get the schedule xNeed [GEN],call the assistant,call the assistant,to call the assistant
[Name] asked the assistant to get the schedule xReact [GEN],happy,relieved,relieved
[Name] asked the assistant to get the schedule xReason [GEN],it's required,it's required,the assistant is busy
[Name] asked the assistant to get the schedule xWant [GEN],to tell the assistant,to go home,to go home
[Name] asked the assistant to get the agreement AtLocation [GEN],conference,conference,the office
[Name] asked the assistant to get the agreement CapableOf [GEN],sign,sign,agree
[Name] asked the assistant to get the agreement Causes [GEN],good,good,to get the job done
[Name] asked the assistant to get the agreement CausesDesire [GEN],get,satisfied,thank the assistant
[Name] asked the assistant to get the agreement CreatedBy [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement DefinedAs [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement DesireOf [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement Desires [GEN],satisfied,satisfied,to get the job done
[Name] asked the assistant to get the agreement HasA [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement HasFirstSubevent [GEN],nervous,satisfied,thank the assistant
[Name] asked the assistant to get the agreement HasLastSubevent [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement HasPainCharacter [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement HasPainIntensity [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement HasPrerequisite [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement HasProperty [GEN],nervous,nervous,nervous
[Name] asked the assistant to get the agreement HasSubEvent [GEN],receive answer,get yelled at,receives an answer
[Name] asked the assistant to get the agreement HasSubevent [GEN],truck,get,thank the assistant
[Name] asked the assistant to get the agreement HinderedBy [GEN],Judy asked the assistant to get the agreement,PersonX doesn't have the authority.,PersonX doesn't have the authority.
[Name] asked the assistant to get the agreement InheritsFrom [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement InstanceOf [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement IsA [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement LocatedNear [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement LocationOfAction [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement MadeOf [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement MadeUpOf [GEN],letter,contract,documents
[Name] asked the assistant to get the agreement MotivatedByGoal [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement NotCapableOf [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement NotDesires [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement NotHasA [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement NotHasProperty [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement NotIsA [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement NotMadeOf [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement ObjectUse [GEN],get the job done,get the job done,get the job done
[Name] asked the assistant to get the agreement PartOf [GEN],get,desperate,thank the assistant
[Name] asked the assistant to get the agreement ReceivesAction [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement RelatedTo [GEN],nervous,satisfied,thank the assistant
[Name] asked the assistant to get the agreement SymbolOf [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement UsedFor [GEN],truck,satisfied,thank the assistant
[Name] asked the assistant to get the agreement isAfter [GEN],PersonX asks a question,PersonX asks a question,PersonX wants to buy a car
[Name] asked the assistant to get the agreement isBefore [GEN],PersonX gets the job done,PersonX gets the job done,PersonX gets the job done
[Name] asked the assistant to get the agreement isFilledBy [GEN],dog,contract,contract
[Name] asked the assistant to get the agreement oEffect [GEN],receives information,receives thanks,makes a decision
[Name] asked the assistant to get the agreement oReact [GEN],happy,happy,happy
[Name] asked the assistant to get the agreement oWant [GEN],to get the job done,to get the job done,to get paid
[Name] asked the assistant to get the agreement xAttr [GEN],confused,confused,curious
[Name] asked the assistant to get the agreement xEffect [GEN],receives answer,gets yelled at,receives an answer
[Name] asked the assistant to get the agreement xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] asked the assistant to get the agreement xNeed [GEN],have a question,have a question,to call the assistant
[Name] asked the assistant to get the agreement xReact [GEN],happy,happy,happy
[Name] asked the assistant to get the agreement xReason [GEN],it's required,it's required,he needs it
[Name] asked the assistant to get the agreement xWant [GEN],thank the assistant,thank the assistant,to go home
[Name] would not give the paperwork to the auditor AtLocation [GEN],office,office,office
[Name] would not give the paperwork to the auditor CapableOf [GEN],sign,file taxes,sign
[Name] would not give the paperwork to the auditor Causes [GEN],get fired,get fired,to give the paperwork
[Name] would not give the paperwork to the auditor CausesDesire [GEN],diana,money,to do something else
[Name] would not give the paperwork to the auditor CreatedBy [GEN],dishwasher,money,to hide the documents
[Name] would not give the paperwork to the auditor DefinedAs [GEN],diana,money,to give documents
[Name] would not give the paperwork to the auditor DesireOf [GEN],dishwasher,get a raise,to be free
[Name] would not give the paperwork to the auditor Desires [GEN],to be free,to hide something,to hide something
[Name] would not give the paperwork to the auditor HasA [GEN],dishwasher,to give the documents,to do something else
[Name] would not give the paperwork to the auditor HasFirstSubevent [GEN],truck,truck,to be free
[Name] would not give the paperwork to the auditor HasLastSubevent [GEN],dishwasher,money,to be free
[Name] would not give the paperwork to the auditor HasPainCharacter [GEN],dishwasher,money,to do something else
[Name] would not give the paperwork to the auditor HasPainIntensity [GEN],to give the paperwork,money,to give the paperwork
[Name] would not give the paperwork to the auditor HasPrerequisite [GEN],diana,money,to give documents
[Name] would not give the paperwork to the auditor HasProperty [GEN],nervous,nervous,responsible
[Name] would not give the paperwork to the auditor HasSubEvent [GEN],get fired,get fired,get fired
[Name] would not give the paperwork to the auditor HasSubevent [GEN],diana,the documents,to give the paperwork
[Name] would not give the paperwork to the auditor HinderedBy [GEN],Diana would not give the paperwork to the auditor,PersonX needs the documents.,PersonX needs the paperwork.
[Name] would not give the paperwork to the auditor InheritsFrom [GEN],diana,money,to be free
[Name] would not give the paperwork to the auditor InstanceOf [GEN],truck,money,to do something else
[Name] would not give the paperwork to the auditor IsA [GEN],to give the paperwork,money,to do something else
[Name] would not give the paperwork to the auditor LocatedNear [GEN],diana,to give documents,to do something else
[Name] would not give the paperwork to the auditor LocationOfAction [GEN],dishwasher,money,to be free
[Name] would not give the paperwork to the auditor MadeOf [GEN],diana,money,to do something else
[Name] would not give the paperwork to the auditor MadeUpOf [GEN],auditorium,auditor,documents
[Name] would not give the paperwork to the auditor MotivatedByGoal [GEN],to give the paperwork,money,to do something else
[Name] would not give the paperwork to the auditor NotCapableOf [GEN],to give the paperwork,money,to do something else
[Name] would not give the paperwork to the auditor NotDesires [GEN],truck,money,to be free
[Name] would not give the paperwork to the auditor NotHasA [GEN],truck,money,to give the documents
[Name] would not give the paperwork to the auditor NotHasProperty [GEN],diana,file,to do something else
[Name] would not give the paperwork to the auditor NotIsA [GEN],diana,to give the documents,to be free
[Name] would not give the paperwork to the auditor NotMadeOf [GEN],to give the paperwork,money,to do something else
[Name] would not give the paperwork to the auditor ObjectUse [GEN],get a loan,get a raise,to give the paperwork
[Name] would not give the paperwork to the auditor PartOf [GEN],diana,to give the documents,to do something else
[Name] would not give the paperwork to the auditor ReceivesAction [GEN],dishwasher,money,to be free
[Name] would not give the paperwork to the auditor RelatedTo [GEN],dishwasher,money,to be free
[Name] would not give the paperwork to the auditor SymbolOf [GEN],to give the paperwork,money,to be free
