Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] gave a ride to the cleaner SymbolOf [GEN],clean house,cleaner,to clean the house,0.582,0.768,0.594
[Name] gave a ride to the cleaner UsedFor [GEN],clean house,cleaner,to clean the house,0.582,0.768,0.594
[Name] gave a ride to the cleaner isAfter [GEN],PersonX gets in the car,PersonX asks for a ride,PersonX gets in the car,0.748,1.0,0.748
[Name] gave a ride to the cleaner isBefore [GEN],PersonX cleans the house,PersonX cleans the house,PersonX cleans the house,1.0,1.0,1.0
[Name] gave a ride to the cleaner isFilledBy [GEN],car,garage,truck,0.596,0.689,0.564
[Name] gave a ride to the cleaner oEffect [GEN],smiles,smiles,PersonY gets a ride home,1.0,0.144,0.144
[Name] gave a ride to the cleaner oReact [GEN],grateful,thankful,grateful,0.731,1.0,0.731
[Name] gave a ride to the cleaner oWant [GEN],to thank them,to thank them,to thank person x,1.0,0.714,0.714
[Name] gave a ride to the cleaner xAttr [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] gave a ride to the cleaner xEffect [GEN],smiles,is thanked,gets thanked,0.38,0.406,0.779
[Name] gave a ride to the cleaner xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] gave a ride to the cleaner xNeed [GEN],get in car,to have a car,to have a car,0.655,0.655,1.0
[Name] gave a ride to the cleaner xReact [GEN],happy,helpful,helpful,0.338,0.338,1.0
[Name] gave a ride to the cleaner xReason [GEN],they need a ride,they need to clean,they need a ride,0.529,1.0,0.529
[Name] gave a ride to the cleaner xWant [GEN],to go home,to go home,to go home,1.0,1.0,1.0
[Name] had to hire the assistant AtLocation [GEN],building,building,building,1.0,1.0,1.0
[Name] had to hire the assistant CapableOf [GEN],fill out paperwork,complete work,work,0.271,0.231,0.597
[Name] had to hire the assistant Causes [GEN],work,work,to pay the assistant,1.0,0.313,0.313
[Name] had to hire the assistant CausesDesire [GEN],truck,determined,to pay the assistant,0.311,0.18,0.102
[Name] had to hire the assistant CreatedBy [GEN],truck,determined,to pay the assistant,0.311,0.18,0.102
[Name] had to hire the assistant DefinedAs [GEN],truck,truck,to pay the assistant,1.0,0.18,0.18
[Name] had to hire the assistant DesireOf [GEN],job,truck,to pay the assistant,0.466,0.381,0.18
[Name] had to hire the assistant Desires [GEN],to do a good job,money,to do a good job,0.43,1.0,0.43
[Name] had to hire the assistant HasA [GEN],job,determined,to pay the assistant,0.381,0.381,0.102
[Name] had to hire the assistant HasFirstSubevent [GEN],truck,teach,to pay the assistant,0.282,0.18,0.272
[Name] had to hire the assistant HasLastSubevent [GEN],truck,truck,to pay the assistant,1.0,0.18,0.18
[Name] had to hire the assistant HasPainCharacter [GEN],job,determined,to pay the assistant,0.381,0.381,0.102
[Name] had to hire the assistant HasPainIntensity [GEN],job,truck,to pay the assistant,0.466,0.381,0.18
[Name] had to hire the assistant HasPrerequisite [GEN],job,truck,to pay the assistant,0.466,0.381,0.18
[Name] had to hire the assistant HasProperty [GEN],short for assistant,responsible,responsible,0.309,0.309,1.0
[Name] had to hire the assistant HasSubEvent [GEN],lose money,get fired,PersonX gets fired,0.346,0.14,0.57
[Name] had to hire the assistant HasSubevent [GEN],truck,teach,to pay the assistant,0.282,0.18,0.272
[Name] had to hire the assistant HinderedBy [GEN],PersonX has no money,PersonX doesn't have the authority.,PersonX has no money.,0.738,0.958,0.766
[Name] had to hire the assistant InheritsFrom [GEN],dishwasher,truck,to pay the assistant,0.26,0.18,0.18
[Name] had to hire the assistant InstanceOf [GEN],truck,teach,to pay the assistant,0.282,0.18,0.272
[Name] had to hire the assistant IsA [GEN],dishwasher,truck,to pay the assistant,0.26,0.18,0.18
[Name] had to hire the assistant LocatedNear [GEN],truck,truck,to pay the assistant,1.0,0.18,0.18
[Name] had to hire the assistant LocationOfAction [GEN],truck,determined,to pay the assistant,0.311,0.18,0.102
[Name] had to hire the assistant MadeOf [GEN],determined,truck,to pay the assistant,0.311,0.102,0.18
[Name] had to hire the assistant MadeUpOf [GEN],assistant,assistant,manager,1.0,0.51,0.51
[Name] had to hire the assistant MotivatedByGoal [GEN],truck,get a job,to pay the assistant,0.28,0.18,0.336
[Name] had to hire the assistant NotCapableOf [GEN],dishwasher,truck,to pay the assistant,0.26,0.18,0.18
[Name] had to hire the assistant NotDesires [GEN],job,lose money,to pay the assistant,0.366,0.381,0.215
[Name] had to hire the assistant NotHasA [GEN],job,determined,to pay the assistant,0.381,0.381,0.102
[Name] had to hire the assistant NotHasProperty [GEN],dishwasher,truck,to pay the assistant,0.26,0.18,0.18
[Name] had to hire the assistant NotIsA [GEN],truck,teach,to pay the assistant,0.282,0.18,0.272
[Name] had to hire the assistant NotMadeOf [GEN],job,truck,to pay the assistant,0.466,0.381,0.18
[Name] had to hire the assistant ObjectUse [GEN],get a job done,get a job done,to pay the assistant,1.0,0.377,0.377
[Name] had to hire the assistant PartOf [GEN],job,truck,to pay the assistant,0.466,0.381,0.18
[Name] had to hire the assistant ReceivesAction [GEN],truck,truck,to pay the assistant,1.0,0.18,0.18
[Name] had to hire the assistant RelatedTo [GEN],truck,truck,to pay the assistant,1.0,0.18,0.18
[Name] had to hire the assistant SymbolOf [GEN],truck,lose money,to pay the assistant,0.233,0.18,0.215
[Name] had to hire the assistant UsedFor [GEN],dishwasher,teach,to pay the assistant,0.23,0.18,0.272
[Name] had to hire the assistant isAfter [GEN],PersonX needs a new assistant,PersonX needs a new assistant,PersonX needs a new assistant,1.0,1.0,1.0
[Name] had to hire the assistant isBefore [GEN],PersonX pays the assistant,PersonX pays the assistant,PersonX pays the assistant,1.0,1.0,1.0
[Name] had to hire the assistant isFilledBy [GEN],teacher,teacher,truck,1.0,0.305,0.305
[Name] had to hire the assistant oEffect [GEN],gets fired,tired,gets paid,0.383,0.6,0.239
[Name] had to hire the assistant oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] had to hire the assistant oWant [GEN],to get paid,to get paid,to get paid,1.0,1.0,1.0
[Name] had to hire the assistant xAttr [GEN],responsible,busy,responsible,0.321,1.0,0.321
[Name] had to hire the assistant xEffect [GEN],gets fired,gets fired,gets fired,1.0,1.0,1.0
[Name] had to hire the assistant xIntent [GEN],to do something,to make money,to have help,0.567,0.629,0.575
[Name] had to hire the assistant xNeed [GEN],have a job,to have a job,to have a job,0.791,0.791,1.0
[Name] had to hire the assistant xReact [GEN],relieved,happy,responsible,0.538,0.217,0.211
[Name] had to hire the assistant xReason [GEN],she needs help,it's required,the assistant is needed,0.274,0.394,0.393
[Name] had to hire the assistant xWant [GEN],to pay the assistant,to pay the assistant,to pay the assistant,1.0,1.0,1.0
[Name] told the cleaner AtLocation [GEN],kitchen,kitchen,kitchen,1.0,1.0,1.0
[Name] told the cleaner CapableOf [GEN],clean nails,clean floor,clean floor,0.382,0.382,1.0
[Name] told the cleaner Causes [GEN],injury,dirty clothes,cleaner,0.191,0.294,0.566
[Name] told the cleaner CausesDesire [GEN],get arrested,water,cleaner,0.177,0.264,0.432
[Name] told the cleaner CreatedBy [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner DefinedAs [GEN],cleaner,water,to clean,0.432,0.72,0.445
[Name] told the cleaner DesireOf [GEN],cleaner,cleaner,cleaner,1.0,1.0,1.0
[Name] told the cleaner Desires [GEN],clean clothes,clean clothes,cleaner,1.0,0.568,0.568
[Name] told the cleaner HasA [GEN],cleaner,water,cleaner,0.432,1.0,0.432
[Name] told the cleaner HasFirstSubevent [GEN],cleaner,cleaner,cleaner,1.0,1.0,1.0
[Name] told the cleaner HasLastSubevent [GEN],get arrested,clean,cleaner,0.237,0.264,0.779
[Name] told the cleaner HasPainCharacter [GEN],cleaner,cleaner,cleaner,1.0,1.0,1.0
[Name] told the cleaner HasPainIntensity [GEN],get arrested,clean,cleaner,0.237,0.264,0.779
[Name] told the cleaner HasPrerequisite [GEN],cleaner,cleaner,cleaner,1.0,1.0,1.0
[Name] told the cleaner HasProperty [GEN],bad,short for cleaner,dirty,0.205,0.374,0.499
[Name] told the cleaner HasSubEvent [GEN],get yelled at,clean clothes,gets yelled at,0.122,0.891,0.17
[Name] told the cleaner HasSubevent [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner HinderedBy [GEN],PersonX can't find the cleaner.,PersonX can't find the cleaner.,The cleaner is out of town.,1.0,0.481,0.481
[Name] told the cleaner InheritsFrom [GEN],cleaner,dirty clothes,to clean,0.566,0.72,0.564
[Name] told the cleaner InstanceOf [GEN],get job,useful,cleaner,0.115,0.223,0.443
[Name] told the cleaner IsA [GEN],get fired,cleaner,cleaner,0.271,0.271,1.0
[Name] told the cleaner LocatedNear [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner LocationOfAction [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner MadeOf [GEN],cleaner,cleaner,cleaner,1.0,1.0,1.0
[Name] told the cleaner MadeUpOf [GEN],nail polish,water,poop,0.324,0.213,0.447
[Name] told the cleaner MotivatedByGoal [GEN],cleaner,water,cleaner,0.432,1.0,0.432
[Name] told the cleaner NotCapableOf [GEN],get job,cleaner,cleaner,0.223,0.223,1.0
[Name] told the cleaner NotDesires [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner NotHasA [GEN],cleaner,cleaner,to clean,1.0,0.72,0.72
[Name] told the cleaner NotHasProperty [GEN],cleaner,water,cleaner,0.432,1.0,0.432
[Name] told the cleaner NotIsA [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner NotMadeOf [GEN],get arrested,water,cleaner,0.177,0.264,0.432
[Name] told the cleaner ObjectUse [GEN],clean the floor,clean the floor,clean the floor,1.0,1.0,1.0
[Name] told the cleaner PartOf [GEN],cleaner,dirty clothes,cleaner,0.566,1.0,0.566
[Name] told the cleaner ReceivesAction [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner RelatedTo [GEN],cleaner,water,cleaner,0.432,1.0,0.432
[Name] told the cleaner SymbolOf [GEN],cleaner,clean,cleaner,0.779,1.0,0.779
[Name] told the cleaner UsedFor [GEN],cleaner,get arrested,cleaner,0.264,1.0,0.264
[Name] told the cleaner isAfter [GEN],PersonX spills a drink,PersonX spills a glass of water,PersonX spills a drink,0.896,1.0,0.896
[Name] told the cleaner isBefore [GEN],PersonX cleans the floor,PersonX cleans the floor,PersonX cleans the house,1.0,0.86,0.86
[Name] told the cleaner isFilledBy [GEN],the cleaner,the cleaner,the cleaner,1.0,1.0,1.0
[Name] told the cleaner oEffect [GEN],gets yelled at,cleaner gets dirty,cleaner gets dirty,0.255,0.255,1.0
[Name] told the cleaner oReact [GEN],disappointed,disappointed,relieved,1.0,0.451,0.451
[Name] told the cleaner oWant [GEN],to tell others,to clean,to clean the house,0.452,0.412,0.863
[Name] told the cleaner xAttr [GEN],mean,informative,responsible,0.173,0.273,0.268
[Name] told the cleaner xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] told the cleaner xIntent [GEN],cleaner,clean,to be helpful,0.779,0.295,0.313
[Name] told the cleaner xNeed [GEN],have dirty clothes,find cleaner,to go to the cleaner,0.54,0.52,0.658
[Name] told the cleaner xReact [GEN],relieved,relieved,relieved,1.0,1.0,1.0
[Name] told the cleaner xReason [GEN],dirty clothes,dirty clothes,the cleaner is dirty,1.0,0.609,0.609
[Name] told the cleaner xWant [GEN],clean the floor,clean,to go home,0.552,0.273,0.406
[Name] gave the housekeeper a ride AtLocation [GEN],house,house,the house,1.0,0.917,0.917
[Name] gave the housekeeper a ride CapableOf [GEN],drive,drive,drive,1.0,1.0,1.0
[Name] gave the housekeeper a ride Causes [GEN],to go home,thankful,to go home,0.125,1.0,0.125
[Name] gave the housekeeper a ride CausesDesire [GEN],truck,to the house,to go to the house,0.333,0.277,0.897
[Name] gave the housekeeper a ride CreatedBy [GEN],truck,drive,to go home,0.535,0.306,0.429
[Name] gave the housekeeper a ride DefinedAs [GEN],truck,truck,to the house,1.0,0.333,0.333
[Name] gave the housekeeper a ride DesireOf [GEN],truck,to the house,to go home,0.333,0.306,0.717
[Name] gave the housekeeper a ride Desires [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] gave the housekeeper a ride HasA [GEN],truck,drive,to get to the house,0.535,0.313,0.462
[Name] gave the housekeeper a ride HasFirstSubevent [GEN],truck,truck,to the house,1.0,0.333,0.333
[Name] gave the housekeeper a ride HasLastSubevent [GEN],truck,to the house,to go home,0.333,0.306,0.717
[Name] gave the housekeeper a ride HasPainCharacter [GEN],truck,drive,to go to the house,0.535,0.277,0.433
[Name] gave the housekeeper a ride HasPainIntensity [GEN],truck,truck,to go home,1.0,0.306,0.306
[Name] gave the housekeeper a ride HasPrerequisite [GEN],truck,truck,to the house,1.0,0.333,0.333
[Name] gave the housekeeper a ride HasProperty [GEN],tired,happy,happy,0.369,0.369,1.0
[Name] gave the housekeeper a ride HasSubEvent [GEN],tired,drive,gets thanked,0.332,0.222,0.148
[Name] gave the housekeeper a ride HasSubevent [GEN],truck,drive,to go home,0.535,0.306,0.429
[Name] gave the housekeeper a ride HinderedBy [GEN],PersonX has no car.,PersonX has no car.,PersonX has no car.,1.0,1.0,1.0
[Name] gave the housekeeper a ride InheritsFrom [GEN],truck,to the house,to the house,0.333,0.333,1.0
[Name] gave the housekeeper a ride InstanceOf [GEN],truck,drive,to get to the house,0.535,0.313,0.462
[Name] gave the housekeeper a ride IsA [GEN],truck,drive,to get to the house,0.535,0.313,0.462
[Name] gave the housekeeper a ride LocatedNear [GEN],truck,drive,to get to the house,0.535,0.313,0.462
[Name] gave the housekeeper a ride LocationOfAction [GEN],truck,to be helpful,to go home,0.187,0.306,0.466
[Name] gave the housekeeper a ride MadeOf [GEN],truck,drive,to go home,0.535,0.306,0.429
[Name] gave the housekeeper a ride MadeUpOf [GEN],truck,truck,truck,1.0,1.0,1.0
[Name] gave the housekeeper a ride MotivatedByGoal [GEN],truck,drive,to go home,0.535,0.306,0.429
[Name] gave the housekeeper a ride NotCapableOf [GEN],drive,to the house,to go to the house,0.431,0.433,0.897
[Name] gave the housekeeper a ride NotDesires [GEN],truck,drive,to the house,0.535,0.333,0.431
[Name] gave the housekeeper a ride NotHasA [GEN],truck,truck,to go home,1.0,0.306,0.306
[Name] gave the housekeeper a ride NotHasProperty [GEN],truck,to the house,to get to the house,0.333,0.313,0.808
[Name] gave the housekeeper a ride NotIsA [GEN],truck,drive,to go home,0.535,0.306,0.429
[Name] gave the housekeeper a ride NotMadeOf [GEN],truck,truck,to go home,1.0,0.306,0.306
[Name] gave the housekeeper a ride ObjectUse [GEN],drive to,drive to,to go home,1.0,0.509,0.509
[Name] gave the housekeeper a ride PartOf [GEN],truck,truck,to go home,1.0,0.306,0.306
[Name] gave the housekeeper a ride ReceivesAction [GEN],truck,drive,to go home,0.535,0.306,0.429
[Name] gave the housekeeper a ride RelatedTo [GEN],truck,to the house,to the house,0.333,0.333,1.0
[Name] gave the housekeeper a ride SymbolOf [GEN],truck,to the house,to go home,0.333,0.306,0.717
[Name] gave the housekeeper a ride UsedFor [GEN],truck,to be helpful,to the house,0.187,0.333,0.361
[Name] gave the housekeeper a ride isAfter [GEN],PersonX asks for a ride,PersonX asks for a ride,PersonX asks for a ride,1.0,1.0,1.0
[Name] gave the housekeeper a ride isBefore [GEN],PersonX drives home,PersonX drives home,PersonX drives home,1.0,1.0,1.0
[Name] gave the housekeeper a ride isFilledBy [GEN],truck,truck,the cat,1.0,0.423,0.423
[Name] gave the housekeeper a ride oEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] gave the housekeeper a ride oReact [GEN],happy,happy,grateful,1.0,0.524,0.524
[Name] gave the housekeeper a ride oWant [GEN],to thank them,to thank them,to thank PersonX,1.0,0.679,0.679
[Name] gave the housekeeper a ride xAttr [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] gave the housekeeper a ride xEffect [GEN],gets thanked,gets thanked,gets thanked,1.0,1.0,1.0
[Name] gave the housekeeper a ride xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] gave the housekeeper a ride xNeed [GEN],to have a car,get in car,to get in the car,0.655,0.788,0.784
[Name] gave the housekeeper a ride xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] gave the housekeeper a ride xReason [GEN],the house is dirty,they need a ride,the house is messy,0.073,0.763,0.094
[Name] gave the housekeeper a ride xWant [GEN],to go home,to go home,to go home,1.0,1.0,1.0
[Name] told the receptionist AtLocation [GEN],conference,conference,building,1.0,0.317,0.317
[Name] told the receptionist CapableOf [GEN],tell story,tell secret,answer phone,0.601,0.259,0.22
[Name] told the receptionist Causes [GEN],receptionist,confused,receive feedback,0.264,0.162,0.21
[Name] told the receptionist CausesDesire [GEN],truck,nervous,to tell the receptionist,0.24,0.161,0.268
[Name] told the receptionist CreatedBy [GEN],dessert,good,to ask the receptionist questions,0.16,0.165,0.124
[Name] told the receptionist DefinedAs [GEN],dessert,phone number,to tell the receptionist,0.153,0.214,0.202
[Name] told the receptionist DesireOf [GEN],taste,informative,to tell others,0.277,0.243,0.341
[Name] told the receptionist Desires [GEN],receive information,information,to inform,0.674,0.653,0.66
[Name] told the receptionist HasA [GEN],salt,good,to tell the receptionist,0.235,0.162,0.168
[Name] told the receptionist HasFirstSubevent [GEN],salt,important information,to tell the receptionist,0.244,0.162,0.22
[Name] told the receptionist HasLastSubevent [GEN],salt,important information,to tell the receptionist,0.244,0.162,0.22
[Name] told the receptionist HasPainCharacter [GEN],story,knowledge,to tell others,0.321,0.207,0.382
[Name] told the receptionist HasPainIntensity [GEN],truck,locate,to tell the receptionist,0.286,0.161,0.237
[Name] told the receptionist HasPrerequisite [GEN],knowledge,nervous,to tell the receptionist,0.376,0.263,0.268
[Name] told the receptionist HasProperty [GEN],taste,nervous,informative,0.36,0.277,0.209
[Name] told the receptionist HasSubEvent [GEN],get yelled at,get yelled at,is asked questions,1.0,0.086,0.086
[Name] told the receptionist HasSubevent [GEN],people,phone number,to ask for help,0.151,0.3,0.227
[Name] told the receptionist HinderedBy [GEN],PersonX doesn't have a phone.,PersonX doesn't have the authority.,PersonX doesn't have a phone.,0.649,1.0,0.649
[Name] told the receptionist InheritsFrom [GEN],taste,nervous,to ask the receptionist questions,0.36,0.17,0.288
[Name] told the receptionist InstanceOf [GEN],liquor,call,to ask for help,0.213,0.25,0.277
[Name] told the receptionist IsA [GEN],labor,informative,to get help,0.275,0.309,0.243
[Name] told the receptionist LocatedNear [GEN],taste,important information,to ask for help,0.233,0.221,0.252
[Name] told the receptionist LocationOfAction [GEN],taste,informative,to ask the receptionist questions,0.277,0.17,0.164
[Name] told the receptionist MadeOf [GEN],tickets,important information,to ask for help,0.2,0.247,0.252
[Name] told the receptionist MadeUpOf [GEN],seed,letter,speaker,0.278,0.251,0.299
[Name] told the receptionist MotivatedByGoal [GEN],tickets,important information,to tell others,0.2,0.157,0.33
[Name] told the receptionist NotCapableOf [GEN],story,important information,to ask the receptionist questions,0.23,0.056,0.186
[Name] told the receptionist NotDesires [GEN],truck,important information,to tell the receptionist,0.154,0.161,0.22
[Name] told the receptionist NotHasA [GEN],truck,nervous,to ask the receptionist questions,0.24,0.156,0.288
[Name] told the receptionist NotHasProperty [GEN],people,people,to tell the receptionist,1.0,0.223,0.223
[Name] told the receptionist NotIsA [GEN],dessert,important information,to ask for help,0.244,0.198,0.252
[Name] told the receptionist NotMadeOf [GEN],truck,phone number,to ask for help,0.117,0.228,0.227
[Name] told the receptionist ObjectUse [GEN],get a job,tell a secret,talk to the receptionist,0.214,0.345,0.136
[Name] told the receptionist PartOf [GEN],taste,call,to tell others,0.274,0.243,0.11
[Name] told the receptionist ReceivesAction [GEN],truck,important information,to tell the receptionist,0.154,0.161,0.22
[Name] told the receptionist RelatedTo [GEN],taste,important information,to tell the receptionist,0.233,0.194,0.22
[Name] told the receptionist SymbolOf [GEN],taste,good,to ask for help,0.355,0.221,0.154
[Name] told the receptionist UsedFor [GEN],dishwasher,attention,to tell the receptionist,0.248,0.189,0.318
[Name] told the receptionist isAfter [GEN],talks to the receptionist,PersonX tells a secret,PersonX sees a problem,0.203,0.185,0.68
[Name] told the receptionist isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] told the receptionist isFilledBy [GEN],fruit,the receptionist,the man,0.219,0.252,0.322
[Name] told the receptionist oEffect [GEN],receives information,listens,receives information,0.246,1.0,0.246
[Name] told the receptionist oReact [GEN],informed,confused,informed,0.281,1.0,0.281
[Name] told the receptionist oWant [GEN],to ask questions,to tell others,to listen to PersonX,0.563,0.343,0.294
[Name] told the receptionist xAttr [GEN],informative,informative,informative,1.0,1.0,1.0
[Name] told the receptionist xEffect [GEN],is asked questions,gets yelled at,is asked questions,0.155,1.0,0.155
[Name] told the receptionist xIntent [GEN],to inform,information,to inform,0.66,1.0,0.66
[Name] told the receptionist xNeed [GEN],call the receptionist,call the receptionist,to call the receptionist,1.0,0.79,0.79
[Name] told the receptionist xReact [GEN],relieved,happy,relieved,0.538,1.0,0.538
[Name] told the receptionist xReason [GEN],she is pregnant,it's a secret,the receptionist is busy,0.143,0.228,0.044
[Name] told the receptionist xWant [GEN],to talk to the receptionist,talk to the receptionist,to say goodbye,0.754,0.467,0.172
[Name] helped the writer to fix the engine AtLocation [GEN],garage,garage,garage,1.0,1.0,1.0
[Name] helped the writer to fix the engine CapableOf [GEN],turn on,start,to have a car,0.484,0.217,0.209
[Name] helped the writer to fix the engine Causes [GEN],relieved,helpful,to be helpful,0.389,0.249,0.686
[Name] helped the writer to fix the engine CausesDesire [GEN],truck,truck,to be a mechanic,1.0,0.407,0.407
[Name] helped the writer to fix the engine CreatedBy [GEN],car,car,to get paid,1.0,0.31,0.31
[Name] helped the writer to fix the engine DefinedAs [GEN],engine,car,to fix the car,0.628,0.417,0.638
[Name] helped the writer to fix the engine DesireOf [GEN],truck,truck,to be a mechanic,1.0,0.407,0.407
[Name] helped the writer to fix the engine Desires [GEN],to be helpful,helpful,to be helpful,0.686,1.0,0.686
[Name] helped the writer to fix the engine HasA [GEN],oil,drive,to be helpful,0.403,0.223,0.268
[Name] helped the writer to fix the engine HasFirstSubevent [GEN],car,car,to be helpful,1.0,0.256,0.256
[Name] helped the writer to fix the engine HasLastSubevent [GEN],car,truck,to fix the car,0.689,0.638,0.386
[Name] helped the writer to fix the engine HasPainCharacter [GEN],car,car,happy,1.0,0.226,0.226
[Name] helped the writer to fix the engine HasPainIntensity [GEN],car,the car,to be a mechanic,0.914,0.448,0.401
[Name] helped the writer to fix the engine HasPrerequisite [GEN],truck,truck,to fix the car,1.0,0.386,0.386
[Name] helped the writer to fix the engine HasProperty [GEN],very useful,very useful,helpful,1.0,0.62,0.62
[Name] helped the writer to fix the engine HasSubEvent [GEN],gets paid,gets paid,gets paid,1.0,1.0,1.0
[Name] helped the writer to fix the engine HasSubevent [GEN],oil,car,to be helpful,0.445,0.223,0.256
[Name] helped the writer to fix the engine HinderedBy [GEN],Megan helped the writer to fix the engine,PersonX does not have a car.,PersonX doesn't have a car.,0.197,0.21,0.983
[Name] helped the writer to fix the engine InheritsFrom [GEN],car,car,to fix the car,1.0,0.638,0.638
[Name] helped the writer to fix the engine InstanceOf [GEN],truck,the car,to be a mechanic,0.609,0.407,0.401
[Name] helped the writer to fix the engine IsA [GEN],car,the car,to be a mechanic,0.914,0.448,0.401
[Name] helped the writer to fix the engine LocatedNear [GEN],car,drive,to be helpful,0.638,0.256,0.268
[Name] helped the writer to fix the engine LocationOfAction [GEN],truck,truck,to get paid,1.0,0.247,0.247
[Name] helped the writer to fix the engine MadeOf [GEN],truck,drive,to be a mechanic,0.535,0.407,0.348
[Name] helped the writer to fix the engine MadeUpOf [GEN],oil,oil,oil,1.0,1.0,1.0
[Name] helped the writer to fix the engine MotivatedByGoal [GEN],truck,truck,to be helpful,1.0,0.187,0.187
[Name] helped the writer to fix the engine NotCapableOf [GEN],truck,car,to be helpful,0.689,0.187,0.256
[Name] helped the writer to fix the engine NotDesires [GEN],oil,car,to fix the car,0.445,0.324,0.638
[Name] helped the writer to fix the engine NotHasA [GEN],car,car,to be helpful,1.0,0.256,0.256
[Name] helped the writer to fix the engine NotHasProperty [GEN],truck,drive,to be a mechanic,0.535,0.407,0.348
[Name] helped the writer to fix the engine NotIsA [GEN],oil,the car,to be helpful,0.339,0.223,0.241
[Name] helped the writer to fix the engine NotMadeOf [GEN],truck,helpful,to fix the car,0.241,0.386,0.29
[Name] helped the writer to fix the engine ObjectUse [GEN],make money,make money,to be helpful,1.0,0.323,0.323
[Name] helped the writer to fix the engine PartOf [GEN],car,drive,to be a mechanic,0.638,0.448,0.348
[Name] helped the writer to fix the engine ReceivesAction [GEN],truck,truck,to be helpful,1.0,0.187,0.187
[Name] helped the writer to fix the engine RelatedTo [GEN],truck,car,to fix the car,0.689,0.386,0.638
[Name] helped the writer to fix the engine SymbolOf [GEN],truck,satisfied,to fix the car,0.272,0.386,0.194
[Name] helped the writer to fix the engine UsedFor [GEN],car,car,to fix the car,1.0,0.638,0.638
[Name] helped the writer to fix the engine isAfter [GEN],PersonX is a mechanic,PersonX writes a story,PersonX is a mechanic,0.645,1.0,0.645
[Name] helped the writer to fix the engine isBefore [GEN],PersonX gets paid,PersonX gets paid,PersonX gets paid for their work,1.0,0.945,0.945
[Name] helped the writer to fix the engine isFilledBy [GEN],car,car,car,1.0,1.0,1.0
[Name] helped the writer to fix the engine oEffect [GEN],smiles,PersonY thanks PersonX,PersonY thanks PersonX,0.146,0.146,1.0
[Name] helped the writer to fix the engine oReact [GEN],grateful,grateful,grateful,1.0,1.0,1.0
[Name] helped the writer to fix the engine oWant [GEN],to thank them,to thank him,to thank PersonX,0.828,0.679,0.631
[Name] helped the writer to fix the engine xAttr [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] helped the writer to fix the engine xEffect [GEN],gets paid,is thanked,gets paid,0.277,1.0,0.277
[Name] helped the writer to fix the engine xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] helped the writer to fix the engine xNeed [GEN],to have a car,to have a car,to have a car,1.0,1.0,1.0
[Name] helped the writer to fix the engine xReact [GEN],accomplished,helpful,accomplished,0.345,1.0,0.345
[Name] helped the writer to fix the engine xReason [GEN],the writer needs help,the writer needs help,the writer needs help,1.0,1.0,1.0
[Name] helped the writer to fix the engine xWant [GEN],to get paid,to get paid,to get paid,1.0,1.0,1.0
[Name] asked the housekeeper AtLocation [GEN],building,building,the house,1.0,0.484,0.484
[Name] asked the housekeeper CapableOf [GEN],clean house,answer question,answer question,0.273,0.273,1.0
[Name] asked the housekeeper Causes [GEN],answer,answer,the house to be cleaned,1.0,0.215,0.215
[Name] asked the housekeeper CausesDesire [GEN],water,answer,to get the house cleaned,0.386,0.353,0.264
[Name] asked the housekeeper CreatedBy [GEN],house,house,to go to the house,1.0,0.657,0.657
[Name] asked the housekeeper DefinedAs [GEN],house,house,to ask the manager,1.0,0.176,0.176
[Name] asked the housekeeper DesireOf [GEN],truck,house,to go to the house,0.413,0.277,0.657
[Name] asked the housekeeper Desires [GEN],clean house,answer,to know the answer,0.285,0.137,0.633
[Name] asked the housekeeper HasA [GEN],truck,house,to get the house cleaned,0.413,0.178,0.481
[Name] asked the housekeeper HasFirstSubevent [GEN],truck,house,to ask the house,0.413,0.256,0.642
[Name] asked the housekeeper HasLastSubevent [GEN],water,house,to get the house cleaned,0.417,0.353,0.481
[Name] asked the housekeeper HasPainCharacter [GEN],house,house,to go to the house,1.0,0.657,0.657
