Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] consulted with the librarian PartOf [GEN], the book to be read, the book to be read, PersonX finds a book to read,1.0,0.548,0.548
[Name] consulted with the librarian ReceivesAction [GEN], read the book, they get a book, PersonX wants to buy a book,0.57,0.423,0.572
[Name] consulted with the librarian RelatedTo [GEN], they get a book, the book to be read, PersonX goes to the library,0.632,0.442,0.366
[Name] consulted with the librarian SymbolOf [GEN], the book to be read, they find out what they need, PersonX goes to the library,0.203,0.366,0.187
[Name] consulted with the librarian UsedFor [GEN], read the book, they get a book, PersonX wants to buy a book,0.57,0.423,0.572
[Name] consulted with the librarian isAfter [GEN], PersonX wants to buy a new book, PersonX wants to buy a book, PersonX wants to buy a book,0.948,0.948,1.0
[Name] consulted with the librarian isBefore [GEN], PersonX reads the book, PersonX reads the book, PersonX finds a book to read,1.0,0.936,0.936
[Name] consulted with the librarian isFilledBy [GEN], book, book, book,1.0,1.0,1.0
[Name] consulted with the librarian oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] consulted with the librarian oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] consulted with the librarian oWant [GEN], to help him, to read the book, to help PersonX,0.467,0.478,0.317
[Name] consulted with the librarian xAttr [GEN], knowledgeable, knowledgeable, knowledgeable,1.0,1.0,1.0
[Name] consulted with the librarian xEffect [GEN], learns something new, learns something new, learns something new,1.0,1.0,1.0
[Name] consulted with the librarian xIntent [GEN], to know what to do, to know what to read, to know what to read,0.535,0.535,1.0
[Name] consulted with the librarian xNeed [GEN], to go to the library, to go to the library, to go to the library,1.0,1.0,1.0
[Name] consulted with the librarian xReact [GEN], informed, informed, informed,1.0,1.0,1.0
[Name] consulted with the librarian xReason [GEN], the librarian tells them what to do, the librarian gave them a book, PersonX is looking for a book to read,0.809,0.257,0.429
[Name] consulted with the librarian xWant [GEN], to find out more information, to find out more information, to read the book,1.0,0.46,0.46
[Name] relies on the attendant AtLocation [GEN], the bus, the bus, PersonX needs a ride to work,1.0,0.339,0.339
[Name] relies on the attendant CapableOf [GEN], ask for help, ask for help, to ask the attendant questions,1.0,0.357,0.357
[Name] relies on the attendant Causes [GEN], the attendant is a good person, the attendant to help them, PersonX needs a ride to work,0.776,0.298,0.307
[Name] relies on the attendant CausesDesire [GEN], PersonX asks PersonX if they need anything, the attendant helps them, PersonX asks the attendant for directions,0.293,0.687,0.598
[Name] relies on the attendant CreatedBy [GEN], to get a ride, the attendant to help, PersonX needs a ride to work,0.237,0.505,0.31
[Name] relies on the attendant DefinedAs [GEN], PersonX helps PersonX, the attendant helps them, PersonX asks the attendant for directions,0.369,0.659,0.598
[Name] relies on the attendant DesireOf [GEN], the attendant gets paid, the attendant helps them, PersonX needs a ride to work,0.793,0.229,0.308
[Name] relies on the attendant Desires [GEN], to be helpful, to be dependable, to be helpful,0.459,1.0,0.459
[Name] relies on the attendant HasA [GEN], the attendant to help them, the attendant to help, PersonX needs a ride to work,0.952,0.307,0.31
[Name] relies on the attendant HasFirstSubevent [GEN], they get to their destination, the attendant helps the person, PersonX waits for the attendant,0.255,0.223,0.661
[Name] relies on the attendant HasLastSubevent [GEN], PersonX gives PersonX a ride, PersonX asks for help, PersonX goes to the bathroom,0.729,0.699,0.677
[Name] relies on the attendant HasPainCharacter [GEN], PersonX drives PersonX to the hospital, the attendant helps them, PersonX asks the attendant for directions,0.344,0.641,0.598
[Name] relies on the attendant HasPainIntensity [GEN], they get a ride, they get a ride, PersonX waits for the attendant,1.0,0.232,0.232
[Name] relies on the attendant HasPrerequisite [GEN], none, the attendant to help, PersonX asks the attendant for help,0.084,0.051,0.736
[Name] relies on the attendant HasProperty [GEN], good about themselves, good about themselves, PersonX is in a hurry,1.0,0.174,0.174
[Name] relies on the attendant HasSubEvent [GEN], get a ride, get a ride, PersonX thanks the attendant,1.0,0.193,0.193
[Name] relies on the attendant HasSubevent [GEN], the attendant to help them, the attendant to help them, the attendant to help them,1.0,1.0,1.0
[Name] relies on the attendant HinderedBy [GEN], The attendant is out of town., The attendant is out of town., PersonX doesn't know the attendant's name.,1.0,0.523,0.523
[Name] relies on the attendant InheritsFrom [GEN], they get a ride, the attendant to help, PersonX needs a ride to work,0.273,0.516,0.31
[Name] relies on the attendant InstanceOf [GEN], the attendant is helpful, the attendant is helpful, PersonX needs a ride to work,1.0,0.316,0.316
[Name] relies on the attendant IsA [GEN], the attendant helps them, the attendant to help, PersonX needs a ride to work,0.915,0.308,0.31
[Name] relies on the attendant LocatedNear [GEN], to get a ride, to go to the bathroom, PersonX needs a ride to work,0.483,0.505,0.194
[Name] relies on the attendant LocationOfAction [GEN], none, the attendant to help, none,0.084,1.0,0.084
[Name] relies on the attendant MadeOf [GEN], the attendant to help them, the attendant to help them, person x needs to go somewhere,1.0,0.371,0.371
[Name] relies on the attendant MadeUpOf [GEN], PersonY, the attendant helps him, PersonX asks the attendant for directions,0.177,0.316,0.576
[Name] relies on the attendant MotivatedByGoal [GEN], PersonX asks PersonX if they need anything, the attendant helps them, PersonX needs a ride to work,0.293,0.687,0.308
[Name] relies on the attendant NotCapableOf [GEN], none, the attendant to help, PersonX needs a ride to work,0.084,0.107,0.31
[Name] relies on the attendant NotDesires [GEN], they get a ride, they get a ride, PersonX asks the attendant for directions,1.0,0.168,0.168
[Name] relies on the attendant NotHasA [GEN], PersonX gives PersonX a ride home, the attendant helps them, PersonX asks the attendant for directions,0.298,0.652,0.598
[Name] relies on the attendant NotHasProperty [GEN], the attendant to help, the attendant to help them, none,0.952,0.084,0.101
[Name] relies on the attendant NotIsA [GEN], PersonX asks PersonX if they need anything, the attendant helps them, PersonX asks the attendant for directions,0.293,0.687,0.598
[Name] relies on the attendant NotMadeOf [GEN], the attendant to help them, the attendant to help, PersonX needs a ride to work,0.952,0.307,0.31
[Name] relies on the attendant ObjectUse [GEN], to go to the bathroom, to go to the bathroom, to help PersonX,1.0,0.308,0.308
[Name] relies on the attendant PartOf [GEN], none, they get a ride, PersonX asks the attendant for directions,0.151,0.012,0.168
[Name] relies on the attendant ReceivesAction [GEN], they get a ride, they get a ride, PersonX needs a ride to work,1.0,0.516,0.516
[Name] relies on the attendant RelatedTo [GEN], they get to their destination, the attendant to help, PersonX asks the attendant for help,0.309,0.185,0.736
[Name] relies on the attendant SymbolOf [GEN], the attendant to help them, the attendant to help them, PersonX asks the attendant for directions,1.0,0.59,0.59
[Name] relies on the attendant UsedFor [GEN], they get a ride, they get a ride, PersonX asks the attendant for directions,1.0,0.168,0.168
[Name] relies on the attendant isAfter [GEN], PersonX asks PersonX if they need anything else, PersonY asks PersonY for a ride, PersonX needs a ride to work,0.505,0.678,0.646
[Name] relies on the attendant isBefore [GEN], PersonX gives PersonX a ride home, PersonX drives PersonX's car, PersonX thanks the attendant for the help,0.784,0.648,0.514
[Name] relies on the attendant isFilledBy [GEN], seatbelt, the bus, the bus,0.365,0.365,1.0
[Name] relies on the attendant oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] relies on the attendant oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] relies on the attendant oWant [GEN], to help him, to help him, to help PersonX,1.0,0.478,0.478
[Name] relies on the attendant xAttr [GEN], dependable, dependable, dependable,1.0,1.0,1.0
[Name] relies on the attendant xEffect [GEN], has less money, has less money, PersonX is grateful to the attendant,1.0,0.066,0.066
[Name] relies on the attendant xIntent [GEN], to be helpful, to be helped, to be helpful,0.857,1.0,0.857
[Name] relies on the attendant xNeed [GEN], to get in the car, to go to the bathroom, to ask for the attendant,0.56,0.493,0.456
[Name] relies on the attendant xReact [GEN], like a good person, relieved to be done, like a good person,0.114,1.0,0.114
[Name] relies on the attendant xReason [GEN], PersonX gives PersonX a ride home., the attendant helps them, PersonX asks the attendant for directions,0.305,0.64,0.598
[Name] relies on the attendant xWant [GEN], to thank the attendant, to pay the attendant, to pay the attendant,0.786,0.786,1.0
[Name] told the teacher AtLocation [GEN], school, school, PersonX gets into a fight,1.0,0.114,0.114
[Name] told the teacher CapableOf [GEN], get a good grade, find out what happened, PersonX gets in trouble,0.184,0.054,0.217
[Name] told the teacher Causes [GEN], the teacher is upset, the teacher will not listen to them, PersonX is in trouble,0.524,0.114,0.123
[Name] told the teacher CausesDesire [GEN], PersonY is mad at PersonY, Willie tells the teacher what happened, PersonX tells the teacher what happened,0.177,0.389,0.603
[Name] told the teacher CreatedBy [GEN], the teacher to know, the teacher to know, PersonX tells the teacher something,1.0,0.555,0.555
[Name] told the teacher DefinedAs [GEN], PersonY gets mad at PersonY, Willie tells the teacher what happened, PersonX tells the teacher what happened,0.191,0.406,0.603
[Name] told the teacher DesireOf [GEN], PersonY is mad at PersonY, willie gets in trouble, PersonX tells the teacher what happened,0.165,0.389,0.165
[Name] told the teacher Desires [GEN], to inform the teacher, to inform the teacher, to inform the teacher,1.0,1.0,1.0
[Name] told the teacher HasA [GEN], the teacher to listen, the teacher listens to them, PersonX gets into a fight,0.876,0.163,0.088
[Name] told the teacher HasFirstSubevent [GEN], PersonY gets mad at PersonY, willie gets in trouble, PersonX apologizes to the teacher,0.185,0.49,0.1
[Name] told the teacher HasLastSubevent [GEN], PersonY asks what PersonY said, Willie tells the teacher what happened, PersonX tells the teacher what happened,0.234,0.411,0.603
[Name] told the teacher HasPainCharacter [GEN], PersonY asks what PersonY said, Willie tells the teacher what happened, PersonX tells the teacher what happened,0.234,0.411,0.603
[Name] told the teacher HasPainIntensity [GEN], gets yelled at by teacher, will get in trouble, PersonX goes to the principal,0.283,0.321,0.196
[Name] told the teacher HasPrerequisite [GEN], they go to class, willie will get in trouble, PersonX goes to the principal,0.136,0.444,0.11
[Name] told the teacher HasProperty [GEN], the teacher is informed, good., informed,0.043,0.439,0.235
[Name] told the teacher HasSubEvent [GEN], get a good grade, will get in trouble, PersonX gets a good grade,0.313,0.508,0.173
[Name] told the teacher HasSubevent [GEN], the teacher to know, the teacher to know, person x wants to help,1.0,0.287,0.287
[Name] told the teacher HinderedBy [GEN], The teacher won't listen to them., Willie doesn't know the teacher's name., PersonX doesn't know the teacher's name.,0.553,0.482,0.59
[Name] told the teacher InheritsFrom [GEN], the teacher gets mad, the teacher is upset, PersonX gets into a fight,0.84,0.219,0.167
[Name] told the teacher InstanceOf [GEN], PersonY gets a detention, the teacher is upset, PersonX is in trouble,0.2,0.481,0.114
[Name] told the teacher IsA [GEN], the teacher to know, the teacher to know, informed,1.0,0.373,0.373
[Name] told the teacher LocatedNear [GEN], to tell the teacher, the teacher to know, to inform the teacher,0.761,0.875,0.74
[Name] told the teacher LocationOfAction [GEN], the teacher to know, the teacher to know, to be honest,1.0,0.23,0.23
[Name] told the teacher MadeOf [GEN], the teacher to know, the teacher to be informed, to inform the teacher,0.759,0.74,0.827
[Name] told the teacher MadeUpOf [GEN], the teacher asks questions, Willie tells the teacher what happened, PersonX gets in trouble,0.489,0.055,0.124
[Name] told the teacher MotivatedByGoal [GEN], PersonY gets a detention, Willie tells the teacher what happened, PersonX tells the teacher the truth,0.305,0.406,0.492
[Name] told the teacher NotCapableOf [GEN], they get a detention, they get in trouble, PersonX tells the teacher something,0.707,0.302,0.173
[Name] told the teacher NotDesires [GEN], they get a detention, willie tells the teacher what happened, PersonX tells the teacher the truth,0.328,0.249,0.492
[Name] told the teacher NotHasA [GEN], PersonY is mad at PersonY, Willie tells the teacher what happened, PersonX tells the teacher the truth,0.177,0.372,0.492
[Name] told the teacher NotHasProperty [GEN], the teacher to know, good., informed,0.184,0.373,0.235
[Name] told the teacher NotIsA [GEN], PersonY is mad at PersonY, Willie tells the teacher what happened, PersonX tells the teacher what happened,0.177,0.389,0.603
[Name] told the teacher NotMadeOf [GEN], PersonY is mad at PersonY, the teacher is upset, PersonX tells the teacher the truth,0.285,0.372,0.469
[Name] told the teacher ObjectUse [GEN], to get the teacher's attention, to get the teacher's attention, to get the teacher's attention,1.0,1.0,1.0
[Name] told the teacher PartOf [GEN], PersonY is mad at PersonY, the teacher asks questions, PersonX tells the teacher what happened,0.079,0.389,0.485
[Name] told the teacher ReceivesAction [GEN], they get a good grade, they go to the principal, PersonX tells the teacher what happened,0.496,0.284,0.421
[Name] told the teacher RelatedTo [GEN], they get a detention, they get in trouble, PersonX goes to the principal,0.707,0.416,0.25
[Name] told the teacher SymbolOf [GEN], they go to the principal, the teacher to be informed, PersonX gets into a fight,0.443,0.163,0.099
[Name] told the teacher UsedFor [GEN], PersonY is mad at PersonY, Willie tells the teacher what happened, PersonX tells the teacher what happened,0.177,0.389,0.603
[Name] told the teacher isAfter [GEN], PersonY asks PersonY what PersonY knows, PersonX is in trouble at school, PersonX sees PersonY cheating on the test,0.312,0.384,0.625
[Name] told the teacher isBefore [GEN], PersonY asks PersonY what they think, Willie gets a good grade, PersonX apologizes to the teacher,0.191,0.282,0.138
[Name] told the teacher isFilledBy [GEN], the book, the book, the book,1.0,1.0,1.0
[Name] told the teacher oEffect [GEN], learns something new, learns something new, PersonX gets yelled at,1.0,0.083,0.083
[Name] told the teacher oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] told the teacher oWant [GEN], to listen to the teacher, to listen to the teacher, to listen to PersonX,1.0,0.491,0.491
[Name] told the teacher xAttr [GEN], talkative, talkative, talkative,1.0,1.0,1.0
[Name] told the teacher xEffect [GEN], gets yelled at, gets yelled at, learns a new skill,1.0,0.133,0.133
[Name] told the teacher xIntent [GEN], to inform the teacher, to inform the teacher, to inform the teacher,1.0,1.0,1.0
[Name] told the teacher xNeed [GEN], to find out what is going on, to know what the teacher wants, to find out what is going on,0.423,1.0,0.423
[Name] told the teacher xReact [GEN], relieved, relieved, relieved,1.0,1.0,1.0
[Name] told the teacher xReason [GEN], PersonY is mad at PersonY, Willie tells the teacher what happened, PersonX goes to the principal's office,0.177,0.365,0.296
[Name] told the teacher xWant [GEN], to get a good grade, to get a good grade, to get a good grade,1.0,1.0,1.0
[Name] talked to the auditor AtLocation [GEN],   ,   , PersonX goes to the auditor's office,1.0,0.163,0.163
[Name] talked to the auditor CapableOf [GEN], talk to the auditor, make a report, to get an answer,0.278,0.033,0.295
[Name] talked to the auditor Causes [GEN], The auditor is on vacation.,    the auditor is not available, PersonX wants to know what the auditor is doing,0.596,0.526,0.442
[Name] talked to the auditor CausesDesire [GEN], they get a new job, PersonX goes to see the auditor, PersonX goes to see the auditor,0.268,0.268,1.0
[Name] talked to the auditor CreatedBy [GEN], to get an answer, to get an answer, PersonX goes to the auditor's office,1.0,0.121,0.121
[Name] talked to the auditor DefinedAs [GEN], PersonY asks PersonY questions, PersonX goes to see the auditor, PersonX goes to the auditor,0.367,0.351,0.978
[Name] talked to the auditor DesireOf [GEN], they get a good grade, PersonX goes to see the auditor, PersonX goes to the auditor,0.082,0.096,0.978
[Name] talked to the auditor Desires [GEN], to know the truth, to find out the truth, to know what is going on,0.849,0.521,0.452
[Name] talked to the auditor HasA [GEN], they get their money back, they get their money back, PersonX wants to know what the auditor is saying,1.0,0.2,0.2
[Name] talked to the auditor HasFirstSubevent [GEN], they get an answer, they get a new job, PersonX gets a good grade,0.407,0.304,0.142
[Name] talked to the auditor HasLastSubevent [GEN], PersonY asks PersonY what the auditor said, PersonX goes to see the auditor, PersonX goes to see the auditor,0.667,0.667,1.0
[Name] talked to the auditor HasPainCharacter [GEN], PersonY asks PersonY questions, PersonX goes to see the auditor, PersonX tells the auditor about the problem,0.367,0.395,0.88
[Name] talked to the auditor HasPainIntensity [GEN], they get an answer, PersonX goes to the auditor, PersonX goes to the auditor,0.21,0.21,1.0
[Name] talked to the auditor HasPrerequisite [GEN], they get a refund, get a new job, PersonX goes to the auditor,0.295,0.289,0.135
[Name] talked to the auditor HasProperty [GEN], they got a good grade,    vincent  , PersonX wants to know what the auditor is saying,0.146,0.097,0.165
[Name] talked to the auditor HasSubEvent [GEN], get's a report, get's a report, PersonX gets a raise,1.0,0.142,0.142
[Name] talked to the auditor HasSubevent [GEN], the auditor to make a report, they want to know what they did wrong, they want to know what they did wrong,0.313,0.313,1.0
[Name] talked to the auditor HinderedBy [GEN], The auditor is out of town., The auditor is out of town., PersonX doesn't know who the auditor is.,1.0,0.45,0.45
[Name] talked to the auditor InheritsFrom [GEN], they get a refund, they got a good grade, person x wants to know what the auditor thinks,0.356,0.156,0.108
[Name] talked to the auditor InstanceOf [GEN], they get a good grade, PersonX goes to the auditor, PersonX goes to the auditor office,0.096,0.07,0.975
[Name] talked to the auditor IsA [GEN], they get a good grade, they get a new job, PersonX goes to the auditor's office,0.365,0.076,0.261
[Name] talked to the auditor LocatedNear [GEN], to get an answer, talk to the auditor, PersonX wants to know what the auditor thinks,0.033,0.106,0.526
[Name] talked to the auditor LocationOfAction [GEN], to get an answer, talk to the auditor, to know what is going on,0.033,0.546,0.201
[Name] talked to the auditor MadeOf [GEN], they want to know what they did wrong, they want to know what they did wrong, person x wants to know what is going on,1.0,0.425,0.425
[Name] talked to the auditor MadeUpOf [GEN],   , PersonX goes to see the auditor, PersonX gets a good grade on the test,0.196,0.089,0.526
[Name] talked to the auditor MotivatedByGoal [GEN], PersonY asks PersonY questions, PersonX goes to see the auditor, PersonX goes to the auditor,0.367,0.351,0.978
[Name] talked to the auditor NotCapableOf [GEN], they get a good grade, they get a good grade, PersonX wants to know what the auditor is saying,1.0,0.086,0.086
[Name] talked to the auditor NotDesires [GEN], the auditor gives a report, PersonX asks the auditor questions, PersonX asks the auditor a question,0.557,0.569,0.975
[Name] talked to the auditor NotHasA [GEN], Grace gets a good grade, PersonX goes to the auditor's office, PersonX asks the auditor to audit the company,0.181,0.164,0.866
[Name] talked to the auditor NotHasProperty [GEN], good about themselves, good about themselves, good about themselves,1.0,1.0,1.0
[Name] talked to the auditor NotIsA [GEN], Grace gets a good grade, PersonX goes to see the auditor, PersonX tells the auditor everything they know,0.196,0.195,0.888
[Name] talked to the auditor NotMadeOf [GEN], they get a good grade, PersonX goes to the auditor, PersonX goes to the auditor's office,0.096,0.076,0.979
[Name] talked to the auditor ObjectUse [GEN], talk to the auditor, talk to the auditor, to get an answer,1.0,0.033,0.033
[Name] talked to the auditor PartOf [GEN], none, PersonX goes to see the auditor, PersonX gets a good grade,0.1,0.187,0.55
[Name] talked to the auditor ReceivesAction [GEN], they get a refund, they get a new job, PersonX goes to the auditor,0.5,0.289,0.264
[Name] talked to the auditor RelatedTo [GEN], they get an answer, they get their money back, PersonX asks the auditor questions,0.411,0.292,0.117
[Name] talked to the auditor SymbolOf [GEN], they get a new job, PersonX goes to see the auditor, PersonX goes to the auditor,0.268,0.264,0.978
[Name] talked to the auditor UsedFor [GEN], they get a refund, PersonX goes to see the auditor, PersonX goes to the auditor,0.275,0.289,0.978
[Name] talked to the auditor isAfter [GEN], PersonY asks PersonY if they have any questions, PersonX goes to auditors office, PersonX gets a bad grade on a test,0.291,0.305,0.469
[Name] talked to the auditor isBefore [GEN], PersonY asks PersonY what they think, PersonX gets a new job, PersonX gets a refund from the auditor,0.266,0.203,0.551
[Name] talked to the auditor isFilledBy [GEN], the auditor, auditorium, PersonX gets a letter from the auditor,0.294,0.525,0.026
[Name] talked to the auditor oEffect [GEN], none, none, none,1.0,1.0,1.0
[Name] talked to the auditor oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] talked to the auditor oWant [GEN], to make a report, to make a report, to give PersonX a report,1.0,0.629,0.629
[Name] talked to the auditor xAttr [GEN], talkative, talkative, talkative,1.0,1.0,1.0
[Name] talked to the auditor xEffect [GEN], gets an answer, gets an answer, PersonX gets a raise,1.0,0.198,0.198
[Name] talked to the auditor xIntent [GEN], to find out the truth, to find out the truth, to find out the truth,1.0,1.0,1.0
[Name] talked to the auditor xNeed [GEN], to find the auditor's office, to find the auditor's office, to find the auditor's office,1.0,1.0,1.0
[Name] talked to the auditor xReact [GEN], relieved, satisfied, satisfied,0.447,0.447,1.0
[Name] talked to the auditor xReason [GEN], Grace gets a good grade, PersonX goes to see the auditor, PersonX goes to the auditor's office,0.196,0.181,0.968
[Name] talked to the auditor xWant [GEN], to get an answer, to find out the results, to find out the results,0.51,0.51,1.0
[Name] hired the editor AtLocation [GEN], newspaper, newspaper, PersonX hires a new editor,1.0,0.195,0.195
[Name] hired the editor CapableOf [GEN], write a story, find a new editor, PersonX hires the editor,0.2,0.165,0.536
[Name] hired the editor Causes [GEN], good about themselves, good about themselves, PersonX wants a new editor,1.0,0.116,0.116
[Name] hired the editor CausesDesire [GEN], a new job, the editor gets a raise, PersonX hires a new editor,0.338,0.258,0.49
[Name] hired the editor CreatedBy [GEN], to hire the editor, to hire the editor, PersonX hires a new editor,1.0,0.533,0.533
[Name] hired the editor DefinedAs [GEN], PersonY hires the editor, PersonY hires the editor, PersonX hires a new editor,1.0,0.789,0.789
[Name] hired the editor DesireOf [GEN], the editor is hired, the editor gets a raise, PersonX is looking for a new editor,0.736,0.557,0.431
[Name] hired the editor Desires [GEN], to be a good editor, to be a good editor, to have a good editor,1.0,0.941,0.941
[Name] hired the editor HasA [GEN], they get paid, the editor's job, PersonX hires a new editor,0.316,0.133,0.514
[Name] hired the editor HasFirstSubevent [GEN], gets a promotion, get a promotion, PersonX hires a new editor,0.92,0.139,0.117
[Name] hired the editor HasLastSubevent [GEN], PersonY hires the editor, PersonY hires the editor, PersonX is looking for a new editor,1.0,0.691,0.691
[Name] hired the editor HasPainCharacter [GEN], the editor gets a raise, PersonY hires the editor, PersonX is looking for a new editor,0.618,0.431,0.691
[Name] hired the editor HasPainIntensity [GEN], get a raise, get a raise, PersonX hires a new editor,1.0,0.093,0.093
[Name] hired the editor HasPrerequisite [GEN], they get paid, get paid, PersonX is looking for a new editor,0.775,0.018,0.026
[Name] hired the editor HasProperty [GEN], good, good, good,1.0,1.0,1.0
[Name] hired the editor HasSubEvent [GEN], get a raise, get a raise, PersonX hires a new editor,1.0,0.093,0.093
[Name] hired the editor HasSubevent [GEN], to have a good editor, to have a good editor, to have a good editor,1.0,1.0,1.0
[Name] hired the editor HinderedBy [GEN], The editor doesn't want to be hired., The editor doesn't want to work there., PersonX doesn't have the money to hire an editor.,0.776,0.598,0.495
[Name] hired the editor InheritsFrom [GEN], a new job, the editor is hired, PersonX is looking for a new editor,0.378,0.168,0.557
[Name] hired the editor InstanceOf [GEN], a job, good about themselves, PersonX hires the editor,0.138,0.215,0.12
[Name] hired the editor IsA [GEN], a new job, good news, good about themselves,0.244,0.146,0.269
[Name] hired the editor LocatedNear [GEN], to hire a new editor, to hire a new editor, to be a good editor,1.0,0.697,0.697
[Name] hired the editor LocationOfAction [GEN], to have a good editor, to be a good editor, to be a good editor,0.941,0.941,1.0
[Name] hired the editor MadeOf [GEN], the editor to do their job, the editor to write a story, to have a good editor,0.747,0.726,0.69
[Name] hired the editor MadeUpOf [GEN], editorship, the editor, PersonX hires the editor,0.72,0.53,0.606
[Name] hired the editor MotivatedByGoal [GEN], they get paid, the editor is hired, PersonX hires a new editor,0.317,0.133,0.632
[Name] hired the editor NotCapableOf [GEN], they get paid, the editor to write, PersonX hires a new editor,0.153,0.133,0.486
[Name] hired the editor NotDesires [GEN], they get a promotion, they get a new job, PersonX hires a new editor,0.591,0.202,0.31
[Name] hired the editor NotHasA [GEN], the editor is hired, the editor gets a raise, PersonX is looking for a new editor,0.736,0.557,0.431
[Name] hired the editor NotHasProperty [GEN], the editor, good news, satisfied,0.13,0.129,0.167
[Name] hired the editor NotIsA [GEN], PersonY hires the editor, PersonY hires the editor, PersonX hires a new editor,1.0,0.789,0.789
[Name] hired the editor NotMadeOf [GEN], a job, the editor is hired, PersonX hires a new editor,0.428,0.162,0.632
[Name] hired the editor ObjectUse [GEN], to hire a new editor, to hire a new editor, to make sure the editor is competent,1.0,0.668,0.668
[Name] hired the editor PartOf [GEN], they get paid, the editor gets a raise, PersonX hires a new editor,0.43,0.133,0.49
[Name] hired the editor ReceivesAction [GEN], get a promotion, get a promotion, PersonX is looking for a new editor,1.0,0.083,0.083
[Name] hired the editor RelatedTo [GEN], they get a new job, get a new job, PersonX hires a new editor,0.666,0.31,0.15
[Name] hired the editor SymbolOf [GEN], the editor to do their job, to hire a new editor, PersonX is looking for a new editor,0.772,0.552,0.584
[Name] hired the editor UsedFor [GEN], editor's office, get a new job, PersonX is looking for a new editor,0.143,0.556,0.086
[Name] hired the editor isAfter [GEN], PersonY hires the editor, PersonY hires PersonY to edit the magazine, PersonX is looking for a new editor,0.744,0.691,0.506
[Name] hired the editor isBefore [GEN], PersonY reads the editor's work, PersonY hires PersonY's editor, PersonX hires the editor to do their job,0.78,0.69,0.819
[Name] hired the editor isFilledBy [GEN], the newspaper, the newspaper, PersonX hires the editor,1.0,0.26,0.26
[Name] hired the editor oEffect [GEN], gets a promotion, gets a promotion, PersonX hires a new editor,1.0,0.139,0.139
[Name] hired the editor oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] hired the editor oWant [GEN], to write a good story, to do their job, to do their job,0.401,0.401,1.0
[Name] hired the editor xAttr [GEN], responsible, editorial, responsible,0.343,1.0,0.343
[Name] hired the editor xEffect [GEN], gets a raise, gets a raise, PersonX hires the editor,1.0,0.134,0.134
[Name] hired the editor xIntent [GEN], to be a good editor, to be a good editor, to be a good editor,1.0,1.0,1.0
[Name] hired the editor xNeed [GEN], to apply for the job, to apply for the job, to have a job,1.0,0.759,0.759
[Name] hired the editor xReact [GEN], happy, happy, satisfied,1.0,0.616,0.616
[Name] hired the editor xReason [GEN], the editor is hired, the editor to write the story, PersonX is looking for a new editor,0.733,0.557,0.399
[Name] hired the editor xWant [GEN], to get a good review, to make a good first impression, to publish the editor's work,0.443,0.324,0.075
[Name] cleaned the office of the counselor AtLocation [GEN], the office, the counselor's office, PersonX is a janitor,0.497,0.385,0.261
[Name] cleaned the office of the counselor CapableOf [GEN], get a new job, to get a broom, PersonX cleans up the office,0.172,0.153,0.279
[Name] cleaned the office of the counselor Causes [GEN], The counselor is not home., the counselor's office is clean, PersonX wants to help the counselor,0.716,0.588,0.55
[Name] cleaned the office of the counselor CausesDesire [GEN], PersonY asks PersonY to help them, PersonY asked PersonY to clean the office, PersonX is a janitor,0.557,0.367,0.487
[Name] cleaned the office of the counselor CreatedBy [GEN], clean the office, to be a good person, PersonX cleans up the office,0.171,0.678,0.119
[Name] cleaned the office of the counselor DefinedAs [GEN], PersonX asks PersonX to clean the office, PersonY asks PersonY to help them, PersonX goes to the counselor office,0.503,0.539,0.46
[Name] cleaned the office of the counselor DesireOf [GEN], they get paid for it, PersonY asks PersonY to help them, PersonX is a janitor,0.189,0.149,0.367
[Name] cleaned the office of the counselor Desires [GEN], to be helpful, to be helpful, to be helpful,1.0,1.0,1.0
[Name] cleaned the office of the counselor HasA [GEN], the counselor to be happy, the counselor's office is clean, PersonX is a janitor,0.627,0.144,0.267
[Name] cleaned the office of the counselor HasFirstSubevent [GEN], get paid for cleaning, PersonY asks PersonY to help, PersonX cleans the office,0.087,0.359,0.376
[Name] cleaned the office of the counselor HasLastSubevent [GEN], PersonX asks PersonX to clean the office., PersonY asks PersonY to clean the office, PersonX goes to the counselor's office,0.814,0.593,0.378
[Name] cleaned the office of the counselor HasPainCharacter [GEN], PersonX asks PersonX to clean the office, PersonY asks PersonY to clean the office, PersonX goes to the counselor office,0.828,0.539,0.346
[Name] cleaned the office of the counselor HasPainIntensity [GEN], get a job, PersonY asks PersonY to help, PersonX cleans the office,0.165,0.147,0.376
[Name] cleaned the office of the counselor HasPrerequisite [GEN], have a clean office, the counselor to be happy, PersonX cleans the office,0.127,0.645,0.08
[Name] cleaned the office of the counselor HasProperty [GEN], the office is clean, the office is clean, PersonX is a janitor,1.0,0.394,0.394
