Event Relation,Female Inference,Male Inference,Unisex Inference,Female-Male Similarity,Female-Unisex Similarity,Male-Unisex Similarity
[Name] had a meeting with the teacher xIntent [GEN],to learn,to learn,to learn,1.0,1.0,1.0
[Name] had a meeting with the teacher xNeed [GEN],to call the teacher,to call the teacher,to call the teacher,1.0,1.0,1.0
[Name] had a meeting with the teacher xReact [GEN],nervous,nervous,nervous,1.0,1.0,1.0
[Name] had a meeting with the teacher xReason [GEN],students,students,students,1.0,1.0,1.0
[Name] had a meeting with the teacher xWant [GEN],to go home,to go home,to go home,1.0,1.0,1.0
[Name] promoted the housekeeper AtLocation [GEN],house,house,house,1.0,1.0,1.0
[Name] promoted the housekeeper CapableOf [GEN],clean house,clean house,clean house,1.0,1.0,1.0
[Name] promoted the housekeeper Causes [GEN],improvement,improvement,improvement,1.0,1.0,1.0
[Name] promoted the housekeeper CausesDesire [GEN],money,get paid,house,0.496,0.43,0.184
[Name] promoted the housekeeper CreatedBy [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper DefinedAs [GEN],money,lose money,house,0.588,0.43,0.262
[Name] promoted the housekeeper DesireOf [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper Desires [GEN],money,improvement,money,0.277,1.0,0.277
[Name] promoted the housekeeper HasA [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper HasFirstSubevent [GEN],money,losing money,clean house,0.592,0.305,0.277
[Name] promoted the housekeeper HasLastSubevent [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper HasPainCharacter [GEN],money,get paid,house,0.496,0.43,0.184
[Name] promoted the housekeeper HasPainIntensity [GEN],money,good,get paid,0.302,0.496,0.22
[Name] promoted the housekeeper HasPrerequisite [GEN],money,happy,house,0.237,0.43,0.193
[Name] promoted the housekeeper HasProperty [GEN],responsible,responsible,found in house,1.0,0.255,0.255
[Name] promoted the housekeeper HasSubEvent [GEN],get paid,get paid,get paid,1.0,1.0,1.0
[Name] promoted the housekeeper HasSubevent [GEN],money,get paid,house,0.496,0.43,0.184
[Name] promoted the housekeeper HinderedBy [GEN],PersonX has no money.,PersonX doesn't have the authority.,PersonX doesn't have the authority.,0.766,0.766,1.0
[Name] promoted the housekeeper InheritsFrom [GEN],money,good,house,0.302,0.43,0.249
[Name] promoted the housekeeper InstanceOf [GEN],money,get paid,truck,0.496,0.392,0.218
[Name] promoted the housekeeper IsA [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper LocatedNear [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper LocationOfAction [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper MadeOf [GEN],money,happy,work,0.237,0.514,0.399
[Name] promoted the housekeeper MadeUpOf [GEN],manager,nail polish,landlord,0.211,0.382,0.116
[Name] promoted the housekeeper MotivatedByGoal [GEN],money,thankful,get paid,0.233,0.496,0.273
[Name] promoted the housekeeper NotCapableOf [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper NotDesires [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper NotHasA [GEN],money,get paid,house,0.496,0.43,0.184
[Name] promoted the housekeeper NotHasProperty [GEN],money,get paid,house,0.496,0.43,0.184
[Name] promoted the housekeeper NotIsA [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper NotMadeOf [GEN],money,determined,truck,0.322,0.392,0.311
[Name] promoted the housekeeper ObjectUse [GEN],get paid,make sure the house is safe,get paid,0.038,1.0,0.038
[Name] promoted the housekeeper PartOf [GEN],money,lose money,house,0.588,0.43,0.262
[Name] promoted the housekeeper ReceivesAction [GEN],money,get paid,house,0.496,0.43,0.184
[Name] promoted the housekeeper RelatedTo [GEN],money,good,house,0.302,0.43,0.249
[Name] promoted the housekeeper SymbolOf [GEN],money,get paid,get paid,0.496,0.496,1.0
[Name] promoted the housekeeper UsedFor [GEN],money,lose money,get paid,0.588,0.496,0.433
[Name] promoted the housekeeper isAfter [GEN],PersonX gets a new job,PersonX cleans the house,truck,0.653,0.119,0.074
[Name] promoted the housekeeper isBefore [GEN],PersonX gets a raise,PersonX pays for the cleaning,PersonX gets a promotion,0.663,0.83,0.628
[Name] promoted the housekeeper isFilledBy [GEN],house,house,house,1.0,1.0,1.0
[Name] promoted the housekeeper oEffect [GEN],makes money,gets paid,makes money,0.603,1.0,0.603
[Name] promoted the housekeeper oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] promoted the housekeeper oWant [GEN],to get paid,to get paid,to get paid,1.0,1.0,1.0
[Name] promoted the housekeeper xAttr [GEN],helpful,responsible,responsible,0.361,0.361,1.0
[Name] promoted the housekeeper xEffect [GEN],gets paid,gets paid,receives thanks,1.0,0.335,0.335
[Name] promoted the housekeeper xIntent [GEN],to be helpful,to be helpful,to make money,1.0,0.513,0.513
[Name] promoted the housekeeper xNeed [GEN],to have a job,get a job,to have a house,0.73,0.635,0.405
[Name] promoted the housekeeper xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] promoted the housekeeper xReason [GEN],the house is a mess,the house is dirty,the house is clean,0.675,0.698,0.892
[Name] promoted the housekeeper xWant [GEN],to get paid,to get paid,to celebrate,1.0,0.577,0.577
[Name] went to the house of the editor AtLocation [GEN],magazine,newspaper,mail box,0.543,0.29,0.292
[Name] went to the house of the editor CapableOf [GEN],page editor,page editor,page editor,1.0,1.0,1.0
[Name] went to the house of the editor Causes [GEN],people to listen,reception,waste,0.461,0.194,0.191
[Name] went to the house of the editor CausesDesire [GEN],money,succeed,dinner,0.325,0.404,0.247
[Name] went to the house of the editor CreatedBy [GEN],magazine,to make a speech,manuscript,0.201,0.366,0.195
[Name] went to the house of the editor DefinedAs [GEN],editor,locate,editor,0.241,1.0,0.241
[Name] went to the house of the editor DesireOf [GEN],magazine,locate,editor,0.224,0.336,0.241
[Name] went to the house of the editor Desires [GEN],money,to make money,eat,0.65,0.396,0.289
[Name] went to the house of the editor HasA [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor HasFirstSubevent [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor HasLastSubevent [GEN],money,locate,manuscript,0.216,0.179,0.219
[Name] went to the house of the editor HasPainCharacter [GEN],money,to be in charge,manuscript,0.41,0.179,0.14
[Name] went to the house of the editor HasPainIntensity [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor HasPrerequisite [GEN],money,money,dinner,1.0,0.404,0.404
[Name] went to the house of the editor HasProperty [GEN],nervous,nervous,white,1.0,0.342,0.342
[Name] went to the house of the editor HasSubEvent [GEN],is asked questions,learn new information,taste,0.191,0.149,0.166
[Name] went to the house of the editor HasSubevent [GEN],magazine,pray,manuscript,0.162,0.366,0.163
[Name] went to the house of the editor HinderedBy [GEN],Judith went to the house of the editor,PersonX doesn't have a car.,PersonX has no money.,0.129,0.143,0.737
[Name] went to the house of the editor InheritsFrom [GEN],money,to be in charge,editor,0.41,0.246,0.273
[Name] went to the house of the editor InstanceOf [GEN],magazine,locate,editor,0.224,0.336,0.241
[Name] went to the house of the editor IsA [GEN],magazine,succeed,taste,0.224,0.251,0.304
[Name] went to the house of the editor LocatedNear [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor LocationOfAction [GEN],money,locate,manuscript,0.216,0.179,0.219
[Name] went to the house of the editor MadeOf [GEN],money,to be in charge,dinner,0.41,0.404,0.286
[Name] went to the house of the editor MadeUpOf [GEN],magazine,editor,milk,0.336,0.279,0.136
[Name] went to the house of the editor MotivatedByGoal [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor NotCapableOf [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor NotDesires [GEN],magazine,locate,dinner,0.224,0.209,0.226
[Name] went to the house of the editor NotHasA [GEN],magazine,locate,editor,0.224,0.336,0.241
[Name] went to the house of the editor NotHasProperty [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor NotIsA [GEN],magazine,locate,manuscript,0.224,0.366,0.219
[Name] went to the house of the editor NotMadeOf [GEN],editor,editor,manuscript,1.0,0.485,0.485
[Name] went to the house of the editor ObjectUse [GEN],get a job,have a meeting,make a sandwich,0.274,0.223,0.242
[Name] went to the house of the editor PartOf [GEN],money,locate,manuscript,0.216,0.179,0.219
[Name] went to the house of the editor ReceivesAction [GEN],magazine,to make a speech,manuscript,0.201,0.366,0.195
[Name] went to the house of the editor RelatedTo [GEN],magazine,locate,editor,0.224,0.336,0.241
[Name] went to the house of the editor SymbolOf [GEN],magazine,satisfied,dinner,0.204,0.209,0.295
[Name] went to the house of the editor UsedFor [GEN],money,succeed,manuscript,0.325,0.179,0.172
[Name] went to the house of the editor isAfter [GEN],Judith went to the house of the editor,PersonX writes a story,Reese went to the house of the editor,0.384,0.569,0.316
[Name] went to the house of the editor isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] went to the house of the editor isFilledBy [GEN],magazine,magazine,home,1.0,0.269,0.269
[Name] went to the house of the editor oEffect [GEN],gets fired,gets fired,gets yelled at,1.0,0.557,0.557
[Name] went to the house of the editor oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] went to the house of the editor oWant [GEN],to ask questions,to ask questions,to thank person x,1.0,0.336,0.336
[Name] went to the house of the editor xAttr [GEN],helpful,responsible,responsible,0.361,0.361,1.0
[Name] went to the house of the editor xEffect [GEN],is asked questions,gets fired,gets fired,0.155,0.155,1.0
[Name] went to the house of the editor xIntent [GEN],to be helpful,to be helpful,to be in control,1.0,0.445,0.445
[Name] went to the house of the editor xNeed [GEN],get dressed,drive to the house,to go to the store,0.246,0.271,0.39
[Name] went to the house of the editor xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] went to the house of the editor xReason [GEN],the editor is in the office,the editor is in the office,the editor is in the office,1.0,1.0,1.0
[Name] went to the house of the editor xWant [GEN],to ask questions,to make a speech,to go home,0.492,0.531,0.373
[Name] left the documents with the clerk AtLocation [GEN],desk,office,office,0.659,0.659,1.0
[Name] left the documents with the clerk CapableOf [GEN],hand over,give to clerk,get fired,0.282,0.177,0.179
[Name] left the documents with the clerk Causes [GEN],lose money,to be helpful,lose money,0.247,1.0,0.247
[Name] left the documents with the clerk CausesDesire [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk CreatedBy [GEN],clerk,to be helpful,get fired,0.136,0.212,0.271
[Name] left the documents with the clerk DefinedAs [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk DesireOf [GEN],clerk,to be helpful,get fired,0.136,0.212,0.271
[Name] left the documents with the clerk Desires [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] left the documents with the clerk HasA [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk HasFirstSubevent [GEN],get fired,lose money,get fired,0.346,1.0,0.346
[Name] left the documents with the clerk HasLastSubevent [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk HasPainCharacter [GEN],clerk,locate,get fired,0.307,0.212,0.129
[Name] left the documents with the clerk HasPainIntensity [GEN],get fired,lose money,get fired,0.346,1.0,0.346
[Name] left the documents with the clerk HasPrerequisite [GEN],the documents,locate,get fired,0.321,0.132,0.129
[Name] left the documents with the clerk HasProperty [GEN],responsible,responsible,responsible,1.0,1.0,1.0
[Name] left the documents with the clerk HasSubEvent [GEN],get fired,get fired,get fired,1.0,1.0,1.0
[Name] left the documents with the clerk HasSubevent [GEN],clerk,locate,satisfied,0.307,0.165,0.227
[Name] left the documents with the clerk HinderedBy [GEN],Kathleen left the documents with the clerk,the clerk is busy,PersonX is in prison.,0.507,0.175,0.111
[Name] left the documents with the clerk InheritsFrom [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk InstanceOf [GEN],clerk,to be helpful,to give to the clerk,0.136,0.67,0.372
[Name] left the documents with the clerk IsA [GEN],get fired,to be helpful,lose money,0.271,0.346,0.247
[Name] left the documents with the clerk LocatedNear [GEN],get fired,to be helpful,to be helpful,0.271,0.271,1.0
[Name] left the documents with the clerk LocationOfAction [GEN],get fired,to be helpful,to be helpful,0.271,0.271,1.0
[Name] left the documents with the clerk MadeOf [GEN],to be helpful,to be helpful,get fired,1.0,0.271,0.271
[Name] left the documents with the clerk MadeUpOf [GEN],documents,documents,documents,1.0,1.0,1.0
[Name] left the documents with the clerk MotivatedByGoal [GEN],,to be helpful,to be helpful,0.161,0.161,1.0
[Name] left the documents with the clerk NotCapableOf [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk NotDesires [GEN],clerk,to be helpful,get fired,0.136,0.212,0.271
[Name] left the documents with the clerk NotHasA [GEN],get fired,to be helpful,lose money,0.271,0.346,0.247
[Name] left the documents with the clerk NotHasProperty [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk NotIsA [GEN],the clerk,to be helpful,lose money,0.162,0.18,0.247
[Name] left the documents with the clerk NotMadeOf [GEN],lose money,to be helpful,get fired,0.247,0.346,0.271
[Name] left the documents with the clerk ObjectUse [GEN],give to the clerk,give to the clerk,give to the clerk,1.0,1.0,1.0
[Name] left the documents with the clerk PartOf [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk ReceivesAction [GEN],get fired,to be helpful,to be helpful,0.271,0.271,1.0
[Name] left the documents with the clerk RelatedTo [GEN],clerk,to be helpful,lose money,0.136,0.157,0.247
[Name] left the documents with the clerk SymbolOf [GEN],get fired,to be helpful,get fired,0.271,1.0,0.271
[Name] left the documents with the clerk UsedFor [GEN],get fired,to be helpful,to be helpful,0.271,0.271,1.0
[Name] left the documents with the clerk isAfter [GEN],PersonX goes to the office,PersonX opens a file,PersonX goes to the office,0.593,1.0,0.593
[Name] left the documents with the clerk isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] left the documents with the clerk isFilledBy [GEN],documents,documents,documents,1.0,1.0,1.0
[Name] left the documents with the clerk oEffect [GEN],gets fired,gets fired,gets fired,1.0,1.0,1.0
[Name] left the documents with the clerk oReact [GEN],happy,responsible,responsible,0.211,0.211,1.0
[Name] left the documents with the clerk oWant [GEN],to take the documents,to take the documents,to take the documents,1.0,1.0,1.0
[Name] left the documents with the clerk xAttr [GEN],responsible,responsible,responsible,1.0,1.0,1.0
[Name] left the documents with the clerk xEffect [GEN],gets fired,gets fired,gets fired,1.0,1.0,1.0
[Name] left the documents with the clerk xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] left the documents with the clerk xNeed [GEN],to go to the office,have documents,to go to the office,0.369,1.0,0.369
[Name] left the documents with the clerk xReact [GEN],relieved,relieved,relieved,1.0,1.0,1.0
[Name] left the documents with the clerk xReason [GEN],it is required,it's required,it's required,0.892,0.892,1.0
[Name] left the documents with the clerk xWant [GEN],to go home,to go home,to go home,1.0,1.0,1.0
[Name] knows the editor AtLocation [GEN],newspaper,newspaper,newspaper,1.0,1.0,1.0
[Name] knows the editor CapableOf [GEN],page editor,write letter,chair meetings,0.218,0.097,0.178
[Name] knows the editor Causes [GEN],to get a job,confused,confused,0.272,0.272,1.0
[Name] knows the editor CausesDesire [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor CreatedBy [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor DefinedAs [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor DesireOf [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor Desires [GEN],to get a job,power,power,0.251,0.251,1.0
[Name] knows the editor HasA [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HasFirstSubevent [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HasLastSubevent [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HasPainCharacter [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HasPainIntensity [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HasPrerequisite [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HasProperty [GEN],smart,smart,powerful,1.0,0.409,0.409
[Name] knows the editor HasSubEvent [GEN],gets fired,get fired,gets fired,0.901,1.0,0.901
[Name] knows the editor HasSubevent [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor HinderedBy [GEN],PersonX doesn't have a job.,PersonX doesn't have the authority.,PersonX doesn't have the authority.,0.727,0.727,1.0
[Name] knows the editor InheritsFrom [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor InstanceOf [GEN],manuscript,knowledge,knowledge,0.161,0.161,1.0
[Name] knows the editor IsA [GEN],desperate,knowledge,knowledge,0.198,0.198,1.0
[Name] knows the editor LocatedNear [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor LocationOfAction [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor MadeOf [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor MadeUpOf [GEN],editor,author,editor,0.43,1.0,0.43
[Name] knows the editor MotivatedByGoal [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor NotCapableOf [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor NotDesires [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor NotHasA [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor NotHasProperty [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor NotIsA [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor NotMadeOf [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor ObjectUse [GEN],get a job,get a job,get a job,1.0,1.0,1.0
[Name] knows the editor PartOf [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor ReceivesAction [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor RelatedTo [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor SymbolOf [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor UsedFor [GEN],editor,knowledge,knowledge,0.213,0.213,1.0
[Name] knows the editor isAfter [GEN],gets fired,PersonX writes a story,PersonX writes a story,0.194,0.194,1.0
[Name] knows the editor isBefore [GEN],PersonX gets fired,PersonX gets fired,PersonX gets fired,1.0,1.0,1.0
[Name] knows the editor isFilledBy [GEN],newspaper,book,book,0.344,0.344,1.0
[Name] knows the editor oEffect [GEN],gets fired,gets fired,gets fired,1.0,1.0,1.0
[Name] knows the editor oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] knows the editor oWant [GEN],to ask questions,to ask questions,to tell them what they think,1.0,0.535,0.535
[Name] knows the editor xAttr [GEN],knowledgeable,knowledgeable,knowledgeable,1.0,1.0,1.0
[Name] knows the editor xEffect [GEN],gets fired,gets fired,gets fired,1.0,1.0,1.0
[Name] knows the editor xIntent [GEN],to be in control,to be in control,to be in control,1.0,1.0,1.0
[Name] knows the editor xNeed [GEN],get a job,to have a job,to have a job,0.73,0.73,1.0
[Name] knows the editor xReact [GEN],happy,satisfied,powerful,0.616,0.281,0.318
[Name] knows the editor xReason [GEN],he knows the editor,he knows the editor,they have a job,1.0,0.251,0.251
[Name] knows the editor xWant [GEN],to get a job,to get a raise,to get a raise,0.679,0.679,1.0
[Name] ran into the attendant AtLocation [GEN],train station,train station,train station,1.0,1.0,1.0
[Name] ran into the attendant CapableOf [GEN],talk to,say hello,talk to,0.353,1.0,0.353
[Name] ran into the attendant Causes [GEN],run,run,run,1.0,1.0,1.0
[Name] ran into the attendant CausesDesire [GEN],drink,drink,drink,1.0,1.0,1.0
[Name] ran into the attendant CreatedBy [GEN],dishwasher,get yelled at,drink,0.175,0.335,0.334
[Name] ran into the attendant DefinedAs [GEN],truck,shelf,drink,0.325,0.286,0.228
[Name] ran into the attendant DesireOf [GEN],dishwasher,get yelled at,drink,0.175,0.335,0.334
[Name] ran into the attendant Desires [GEN],to say hello,to say hello,thankful,1.0,0.154,0.154
[Name] ran into the attendant HasA [GEN],truck,get yelled at,truck,0.158,1.0,0.158
[Name] ran into the attendant HasFirstSubevent [GEN],dishwasher,get yelled at,drink,0.175,0.335,0.334
[Name] ran into the attendant HasLastSubevent [GEN],drink,drink,drink,1.0,1.0,1.0
[Name] ran into the attendant HasPainCharacter [GEN],truck,get yelled at,truck,0.158,1.0,0.158
[Name] ran into the attendant HasPainIntensity [GEN],truck,truck,truck,1.0,1.0,1.0
[Name] ran into the attendant HasPrerequisite [GEN],truck,drink,drink,0.286,0.286,1.0
[Name] ran into the attendant HasProperty [GEN],nervous,nervous,nervous,1.0,1.0,1.0
[Name] ran into the attendant HasSubEvent [GEN],smiles,smile,get yelled at,0.836,0.166,0.259
[Name] ran into the attendant HasSubevent [GEN],truck,get yelled at,drive,0.158,0.535,0.241
[Name] ran into the attendant HinderedBy [GEN],PersonX is in a wheelchair.,PersonX is in a wheelchair.,PersonX is in a wheelchair.,1.0,1.0,1.0
[Name] ran into the attendant InheritsFrom [GEN],dishwasher,drink,drink,0.335,0.335,1.0
[Name] ran into the attendant InstanceOf [GEN],drive,get yelled at,drive,0.241,1.0,0.241
[Name] ran into the attendant IsA [GEN],drive,get yelled at,drink,0.241,0.377,0.334
[Name] ran into the attendant LocatedNear [GEN],thankful,get yelled at,drive,0.047,0.151,0.241
[Name] ran into the attendant LocationOfAction [GEN],drink,get yelled at,drink,0.334,1.0,0.334
[Name] ran into the attendant MadeOf [GEN],truck,drink,drink,0.286,0.286,1.0
[Name] ran into the attendant MadeUpOf [GEN],person,seat,child,0.39,0.485,0.369
[Name] ran into the attendant MotivatedByGoal [GEN],truck,drink,drive,0.286,0.535,0.377
[Name] ran into the attendant NotCapableOf [GEN],satisfied,get yelled at,drive,0.057,0.243,0.241
[Name] ran into the attendant NotDesires [GEN],ticket,get yelled at,truck,0.257,0.372,0.158
[Name] ran into the attendant NotHasA [GEN],truck,drink,truck,0.286,1.0,0.286
[Name] ran into the attendant NotHasProperty [GEN],truck,get yelled at,truck,0.158,1.0,0.158
[Name] ran into the attendant NotIsA [GEN],drive,get yelled at,drive,0.241,1.0,0.241
[Name] ran into the attendant NotMadeOf [GEN],truck,truck,drink,1.0,0.286,0.286
[Name] ran into the attendant ObjectUse [GEN],talk to,say hello,run into,0.353,0.274,0.288
[Name] ran into the attendant PartOf [GEN],dishwasher,get yelled at,drink,0.175,0.335,0.334
[Name] ran into the attendant ReceivesAction [GEN],dishwasher,get yelled at,drive,0.175,0.326,0.241
[Name] ran into the attendant RelatedTo [GEN],truck,drink,truck,0.286,1.0,0.286
[Name] ran into the attendant SymbolOf [GEN],truck,get yelled at,run,0.158,0.261,0.328
[Name] ran into the attendant UsedFor [GEN],dishwasher,drink,drive,0.335,0.326,0.377
[Name] ran into the attendant isAfter [GEN],PersonX walks into the store,PersonX walks into the store,PersonX walks into the store,1.0,1.0,1.0
[Name] ran into the attendant isBefore [GEN],PersonX asks the waitress for a drink,PersonX gets yelled at by the attendant,PersonX gets yelled at by the attendant,0.632,0.632,1.0
[Name] ran into the attendant isFilledBy [GEN],bus,bus,truck,1.0,0.511,0.511
[Name] ran into the attendant oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] ran into the attendant oReact [GEN],surprised,happy,surprised,0.28,1.0,0.28
[Name] ran into the attendant oWant [GEN],to say hello,to say hello,to say hello,1.0,1.0,1.0
[Name] ran into the attendant xAttr [GEN],irresponsible,irresponsible,clumsy,1.0,0.274,0.274
[Name] ran into the attendant xEffect [GEN],smiles,gets yelled at,gets yelled at,0.235,0.235,1.0
[Name] ran into the attendant xIntent [GEN],to be noticed,to be noticed,run into the attendant,1.0,0.182,0.182
[Name] ran into the attendant xNeed [GEN],get in car,get in car,drive,1.0,0.545,0.545
[Name] ran into the attendant xReact [GEN],surprised,happy,embarrased,0.28,0.256,0.158
[Name] ran into the attendant xReason [GEN],she is running late,he is running late,she is running late,0.765,1.0,0.765
[Name] ran into the attendant xWant [GEN],to say hello,to say hello,to say hello,1.0,1.0,1.0
[Name] demanded more bread from the baker AtLocation [GEN],kitchen,kitchen,store,1.0,0.375,0.375
[Name] demanded more bread from the baker CapableOf [GEN],demand more bread,demand more bread,demand more bread,1.0,1.0,1.0
[Name] demanded more bread from the baker Causes [GEN],hungry,hungry,hungry,1.0,1.0,1.0
[Name] demanded more bread from the baker CausesDesire [GEN],baker,more bread,baker,0.464,1.0,0.464
[Name] demanded more bread from the baker CreatedBy [GEN],get more bread,more bread,get more bread,0.938,1.0,0.938
[Name] demanded more bread from the baker DefinedAs [GEN],get more bread,more bread,get more bread,0.938,1.0,0.938
[Name] demanded more bread from the baker DesireOf [GEN],baker,more bread,buy more bread,0.464,0.407,0.9
[Name] demanded more bread from the baker Desires [GEN],more bread,more bread,more bread,1.0,1.0,1.0
[Name] demanded more bread from the baker HasA [GEN],get more bread,more bread,buy more bread,0.938,0.956,0.9
[Name] demanded more bread from the baker HasFirstSubevent [GEN],get more bread,more bread,buy more bread,0.938,0.956,0.9
[Name] demanded more bread from the baker HasLastSubevent [GEN],get more bread,more bread,hungry,0.938,0.361,0.439
[Name] demanded more bread from the baker HasPainCharacter [GEN],baker,more bread,get more bread,0.464,0.401,0.938
[Name] demanded more bread from the baker HasPainIntensity [GEN],get more bread,more bread,get more bread,0.938,1.0,0.938
[Name] demanded more bread from the baker HasPrerequisite [GEN],more bread,more bread,more bread,1.0,1.0,1.0
[Name] demanded more bread from the baker HasProperty [GEN],hungry,more bread,hungry,0.439,1.0,0.439
[Name] demanded more bread from the baker HasSubEvent [GEN],buy more bread,get more bread,buy more bread,0.956,1.0,0.956
[Name] demanded more bread from the baker HasSubevent [GEN],get more bread,bread,get more bread,0.812,1.0,0.812
[Name] demanded more bread from the baker HinderedBy [GEN],PersonX has no money.,PersonX has no money.,PersonX has no money.,1.0,1.0,1.0
[Name] demanded more bread from the baker InheritsFrom [GEN],bread,more bread,baker,0.849,0.526,0.464
[Name] demanded more bread from the baker InstanceOf [GEN],get more bread,bread,get more bread,0.812,1.0,0.812
[Name] demanded more bread from the baker IsA [GEN],money,more bread,get more bread,0.222,0.127,0.938
[Name] demanded more bread from the baker LocatedNear [GEN],get more bread,more bread,buy more bread,0.938,0.956,0.9
[Name] demanded more bread from the baker LocationOfAction [GEN],get more bread,more bread,buy more bread,0.938,0.956,0.9
[Name] demanded more bread from the baker MadeOf [GEN],get more bread,more bread,baker,0.938,0.401,0.464
[Name] demanded more bread from the baker MadeUpOf [GEN],bread,bread,bread,1.0,1.0,1.0
[Name] demanded more bread from the baker MotivatedByGoal [GEN],get more bread,more bread,buy more bread,0.938,0.956,0.9
[Name] demanded more bread from the baker NotCapableOf [GEN],get more bread,more bread,get more bread,0.938,1.0,0.938
[Name] demanded more bread from the baker NotDesires [GEN],get more bread,more bread,get more bread,0.938,1.0,0.938
[Name] demanded more bread from the baker NotHasA [GEN],more bread,more bread,more bread,1.0,1.0,1.0
[Name] demanded more bread from the baker NotHasProperty [GEN],baker,bread,bakery,0.526,0.737,0.629
[Name] demanded more bread from the baker NotIsA [GEN],get more bread,more bread,buy more bread,0.938,0.956,0.9
